Order ID,Client ID,Enquiry Date,Order Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-156011,C00000326,"Sunday, April 30, 2023","Wednesday, January 8, 2020",Standard Class,Consumer,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67,3,,0.1134
US-2015-156947,C00000243,"Wednesday, January 5, 2022","Wednesday, January 8, 2020",Standard Class,Consumer,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",211.246,2,0.3,-66.3916
US-2015-157216,C00000103,"Monday, December 25, 2023","Wednesday, January 8, 2020",First Class,Consumer,TEC-AC-10001109,Technology,Accessories,Logitech Trackman Marble Mouse,71.976,3,0.2,19.7934
US-2015-159136,C00000162,"Thursday, February 6, 2020","Wednesday, January 8, 2020",Second Class,Home Office,OFF-PA-10000357,Office Supplies,Paper,Xerox 1888,166.44,3,,79.8912
US-2015-159576,C00000888,"Sunday, October 24, 2021","Wednesday, January 8, 2020",Second Class,Corporate,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",257.64,6,,100.4796
US-2015-159579,C00000692,"Tuesday, April 25, 2023","Wednesday, January 8, 2020",Same Day,Home Office,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",7.992,1,0.2,2.6973
US-2015-154002,C00000238,"Tuesday, December 22, 2020","Thursday, January 9, 2020",First Class,Home Office,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,70.98,1,,3.549
US-2015-157401,C00000146,"Friday, October 14, 2022","Thursday, January 9, 2020",First Class,Consumer,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",763.28,5,0.3,-21.808
US-2015-160354,C00000454,"Thursday, June 25, 2020","Thursday, January 9, 2020",Standard Class,Corporate,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",221.382,2,0.1,2.4598
US-2015-160472,C00000331,"Thursday, July 21, 2022","Thursday, January 9, 2020",Standard Class,Consumer,TEC-AC-10004396,Technology,Accessories,Logitech Keyboard K120,72.6,5,0.2,-8.1675
US-2015-151496,C00000757,"Wednesday, May 25, 2022","Friday, January 10, 2020",Standard Class,Consumer,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",30.87,7,,14.2002
US-2015-153370,C00000508,"Thursday, May 19, 2022","Friday, January 10, 2020",Standard Class,Consumer,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,14.7,5,,6.615
US-2015-153562,C00000010,"Saturday, October 9, 2021","Friday, January 10, 2020",Second Class,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,153.78,11,,44.5962
US-2015-153595,C00000483,"Saturday, March 21, 2020","Friday, January 10, 2020",Standard Class,Corporate,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,258.576,2,0.2,19.3932
US-2015-154222,C00000995,"Tuesday, August 15, 2023","Friday, January 10, 2020",First Class,Home Office,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,37.94,2,,18.2112
US-2015-155271,C00001000,"Saturday, November 14, 2020","Friday, January 10, 2020",Standard Class,Home Office,OFF-BI-10004308,Office Supplies,Binders,Avery Legal 4-Ring Binder,67.136,4,0.2,25.176
US-2015-156232,C00000251,"Tuesday, February 28, 2023","Friday, January 10, 2020",First Class,Home Office,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",127.302,7,0.3,-9.093
US-2015-156442,C00000456,"Thursday, August 5, 2021","Friday, January 10, 2020",Second Class,Home Office,OFF-AR-10003056,Office Supplies,Art,Newell 341,17.12,4,,4.9648
US-2015-157444,C00000442,"Wednesday, May 19, 2021","Friday, January 10, 2020",Standard Class,Consumer,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,191.88,6,,19.188
US-2015-158781,C00000683,"Thursday, November 11, 2021","Friday, January 10, 2020",First Class,Home Office,TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,43.176,3,0.2,15.1116
US-2015-160162,C00000942,"Sunday, July 31, 2022","Friday, January 10, 2020",Second Class,Consumer,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,204.85,5,,53.261
US-2015-152534,C00000420,"Wednesday, September 8, 2021","Saturday, January 11, 2020",Second Class,Consumer,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,145.764,6,0.7,-247.7988
US-2015-153930,C00000184,"Sunday, July 4, 2021","Saturday, January 11, 2020",First Class,Consumer,OFF-AP-10004655,Office Supplies,Appliances,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",45.28,4,,15.3952
US-2015-155085,C00000036,"Saturday, December 16, 2023","Saturday, January 11, 2020",Standard Class,Consumer,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,83.976,3,0.2,-1.0497
US-2015-155330,C00000826,"Friday, January 13, 2023","Saturday, January 11, 2020",Second Class,Consumer,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",58.72,4,,27.0112
US-2015-156231,C00000880,"Thursday, August 27, 2020","Saturday, January 11, 2020",Standard Class,Corporate,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,122.91,3,,34.4148
US-2015-157646,C00000727,"Tuesday, August 11, 2020","Saturday, January 11, 2020",Second Class,Consumer,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
US-2015-155789,C00000589,"Friday, June 10, 2022","Sunday, January 12, 2020",Standard Class,Corporate,OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,131.904,3,0.2,47.8152
US-2015-157599,C00000166,"Wednesday, January 3, 2024","Sunday, January 12, 2020",Standard Class,Corporate,TEC-AC-10001114,Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,159.96,4,,51.1872
US-2015-159070,C00000827,"Wednesday, September 8, 2021","Sunday, January 12, 2020",Same Day,Consumer,FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",165.048,3,0.2,41.262
US-2015-151795,C00001012,"Tuesday, October 10, 2023","Monday, January 13, 2020",Standard Class,Consumer,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,4.554,3,0.7,-3.4914
US-2015-152266,C00000980,"Thursday, July 28, 2022","Monday, January 13, 2020",Standard Class,Corporate,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",205.9992,3,0.32,-27.2646
US-2015-154211,C00000008,"Saturday, March 4, 2023","Monday, January 13, 2020",Standard Class,Home Office,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,666.4,7,0.2,-33.32
US-2015-157644,C00000185,"Saturday, November 11, 2023","Monday, January 13, 2020",Standard Class,Consumer,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,36.288,7,0.2,12.7008
US-2015-159593,C00000108,"Thursday, March 9, 2023","Monday, January 13, 2020",Standard Class,Consumer,OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders,39.92,2,0.2,12.974
US-2015-159720,C00000262,"Friday, May 28, 2021","Monday, January 13, 2020",Second Class,Consumer,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,36.672,2,0.2,11.46
US-2015-159913,C00000395,"Wednesday, May 17, 2023","Monday, January 13, 2020",Standard Class,Consumer,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",2.896,1,0.8,-4.7784
US-2015-160248,C00000760,"Saturday, February 5, 2022","Monday, January 13, 2020",Second Class,Consumer,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,27.86,7,,9.1938
US-2015-152500,C00001042,"Friday, October 21, 2022","Tuesday, January 14, 2020",Standard Class,Consumer,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,310.443,3,0.3,-48.7839
US-2015-152971,C00000593,"Sunday, May 30, 2021","Tuesday, January 14, 2020",Standard Class,Corporate,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,9.584,1,0.2,3.3544
US-2015-154074,C00000813,"Friday, September 16, 2022","Tuesday, January 14, 2020",Standard Class,Consumer,OFF-PA-10002246,Office Supplies,Paper,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",15.48,3,0.2,5.6115
US-2015-154188,C00000223,"Sunday, January 15, 2023","Tuesday, January 14, 2020",Standard Class,Consumer,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",1.592,2,0.8,-2.6268
US-2015-155473,C00000685,"Sunday, March 21, 2021","Tuesday, January 14, 2020",Second Class,Consumer,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,17.34,3,,8.4966
US-2015-158749,C00000842,"Wednesday, November 29, 2023","Tuesday, January 14, 2020",Standard Class,Consumer,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,11.09,1,,5.4341
US-2015-153915,C00000712,"Monday, June 1, 2020","Wednesday, January 15, 2020",Standard Class,Consumer,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,83.7,5,,3.348
US-2015-154572,C00000342,"Friday, November 11, 2022","Wednesday, January 15, 2020",Standard Class,Corporate,TEC-AC-10001267,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,59.9,2,,23.96
US-2015-154836,C00000470,"Saturday, April 10, 2021","Wednesday, January 15, 2020",First Class,Consumer,OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels,9.45,3,,4.536
US-2015-157045,C00000677,"Friday, May 8, 2020","Wednesday, January 15, 2020",First Class,Corporate,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",13.76,2,,6.3296
US-2015-153450,C00000082,"Thursday, November 24, 2022","Thursday, January 16, 2020",Second Class,Consumer,TEC-AC-10002550,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",159.75,5,,11.1825
US-2015-154197,C00000315,"Sunday, February 21, 2021","Thursday, January 16, 2020",First Class,Consumer,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",194.352,3,0.2,-36.441
US-2015-155010,C00000758,"Monday, July 19, 2021","Thursday, January 16, 2020",Second Class,Consumer,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,424.272,2,0.2,-10.6068
US-2015-156277,C00000364,"Wednesday, June 8, 2022","Thursday, January 16, 2020",Standard Class,Corporate,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,13.184,4,0.8,-20.4352
US-2015-156349,C00000292,"Sunday, September 6, 2020","Thursday, January 16, 2020",Standard Class,Consumer,OFF-AR-10001166,Office Supplies,Art,Staples in misc. colors,30.32,4,,11.8248
US-2015-156975,C00000574,"Friday, July 14, 2023","Thursday, January 16, 2020",First Class,Consumer,OFF-PA-10000418,Office Supplies,Paper,Xerox 189,104.85,1,,50.328
US-2015-157015,C00000905,"Wednesday, July 8, 2020","Thursday, January 16, 2020",Standard Class,Consumer,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,,38.024
US-2015-159280,C00000880,"Tuesday, August 1, 2023","Thursday, January 16, 2020",Standard Class,Corporate,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,657.93,5,0.3,-93.99
US-2015-150642,C00001001,"Thursday, January 20, 2022","Friday, January 17, 2020",Standard Class,Corporate,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",241.92,4,0.4,-56.448
US-2015-151282,C00000629,"Sunday, September 11, 2022","Friday, January 17, 2020",Standard Class,Consumer,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,,9.8418
US-2015-152908,C00000224,"Sunday, December 31, 2023","Friday, January 17, 2020",Standard Class,Home Office,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,0
US-2015-155967,C00000966,"Tuesday, March 30, 2021","Friday, January 17, 2020",Second Class,Consumer,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,77.92,8,,34.2848
US-2015-156574,C00000232,"Thursday, January 23, 2020","Friday, January 17, 2020",Standard Class,Consumer,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,0.2,-94.333
US-2015-160436,C00000041,"Friday, April 22, 2022","Friday, January 17, 2020",Standard Class,Corporate,TEC-AC-10004975,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,1099.5,10,,362.835
US-2015-151579,C00001040,"Thursday, June 10, 2021","Saturday, January 18, 2020",Standard Class,Consumer,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",103.056,3,0.2,24.4758
US-2015-152089,C00000964,"Thursday, June 16, 2022","Saturday, January 18, 2020",Standard Class,Corporate,OFF-EN-10003072,Office Supplies,Envelopes,Peel & Seel Envelopes,19.4,5,,9.312
US-2015-152418,C00000311,"Tuesday, October 11, 2022","Saturday, January 18, 2020",Standard Class,Consumer,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,8.736,4,0.7,-6.1152
US-2015-158797,C00000575,"Thursday, January 13, 2022","Saturday, January 18, 2020",First Class,Consumer,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,156.512,4,0.2,-35.2152
US-2015-159138,C00000691,"Friday, December 25, 2020","Saturday, January 18, 2020",Second Class,Consumer,FUR-FU-10004904,Furniture,Furnishings,"Eldon ""L"" Workstation Diamond Chairmat",303.92,5,0.2,-30.392
US-2015-159219,C00001046,"Friday, June 25, 2021","Saturday, January 18, 2020",Second Class,Consumer,OFF-PA-10000130,Office Supplies,Paper,Xerox 199,3.424,1,0.2,1.07
US-2015-160504,C00000558,"Thursday, June 8, 2023","Saturday, January 18, 2020",Standard Class,Home Office,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,511.056,9,0.2,-95.823
US-2015-151429,C00000666,"Tuesday, October 20, 2020","Sunday, January 19, 2020",Standard Class,Consumer,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,16.68,3,0.2,5.2125
US-2015-152923,C00000518,"Sunday, October 4, 2020","Sunday, January 19, 2020",Standard Class,Consumer,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,111.984,2,0.2,6.999
US-2015-159330,C00000583,"Saturday, January 8, 2022","Sunday, January 19, 2020",First Class,Corporate,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,155.82,7,,42.0714
US-2015-159460,C00000958,"Sunday, February 26, 2023","Sunday, January 19, 2020",Second Class,Home Office,OFF-PA-10003790,Office Supplies,Paper,Xerox 1991,18.272,1,0.2,5.9384
US-2015-159937,C00000292,"Monday, July 18, 2022","Sunday, January 19, 2020",Second Class,Consumer,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",913.43,5,0.3,-169.637
US-2015-150944,C00000290,"Sunday, May 3, 2020","Monday, January 20, 2020",Standard Class,Consumer,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,3.168,2,0.2,0.99
US-2015-151568,C00000680,"Tuesday, March 23, 2021","Monday, January 20, 2020",First Class,Corporate,OFF-LA-10003148,Office Supplies,Labels,Avery 51,18.9,3,,8.694
US-2015-152621,C00000008,"Friday, November 10, 2023","Monday, January 20, 2020",Standard Class,Corporate,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3,0.2,5.6784
US-2015-153420,C00000745,"Tuesday, February 11, 2020","Monday, January 20, 2020",Standard Class,Home Office,OFF-AP-10000026,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,73.164,6,0.8,-186.5682
US-2015-154058,C00000036,"Friday, August 26, 2022","Monday, January 20, 2020",First Class,Consumer,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,0.2,17.7744
US-2015-155701,C00000204,"Sunday, October 31, 2021","Monday, January 20, 2020",Standard Class,Consumer,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,539.964,6,0.4,-107.9928
US-2015-155927,C00000544,"Tuesday, September 27, 2022","Monday, January 20, 2020",Standard Class,Corporate,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",46.26,3,,12.4902
US-2015-157877,C00000922,"Friday, March 11, 2022","Monday, January 20, 2020",Standard Class,Consumer,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,5.56,2,,2.224
US-2015-152772,C00000796,"Saturday, November 18, 2023","Tuesday, January 21, 2020",Standard Class,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,5,0.2,121.99
US-2015-153575,C00000825,"Friday, June 25, 2021","Tuesday, January 21, 2020",Standard Class,Corporate,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,859.2,3,0.2,75.18
