Order_ID,Client_ID,Order_Date,Ship_Mode,Segment,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
US-2015-160700,C00000276,2023-10-03,Standard Class,Corporate,TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,5,0,659.98
US-2015-160701,C00000261,2022-01-12,Standard Class,Home Office,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Managers Chair,2573.82,9,0,746.4078
US-2015-160702,C00000760,2019-11-02,Standard Class,Consumer,FUR-FU-10000087,Furniture,Furnishings,Executive Impressions 14 Two-Color Numerals Wall Clock,54.528,3,0.2,14.3136
US-2015-160703,C00000986,2021-09-29,Standard Class,Consumer,OFF-AP-10000159,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,309.456,9,0.2,34.8138
US-2015-160704,C00000655,2022-03-04,Second Class,Corporate,OFF-LA-10004853,Office Supplies,Labels,Avery 483,11.952,3,0.2,3.8844
US-2015-160705,C00000190,2019-11-26,Standard Class,Consumer,OFF-FA-10003467,Office Supplies,Fasteners,Alliance Big Bands Rubber Bands 12/Pack,5.94,3,0,0
US-2015-160706,C00000954,2022-08-30,First Class,Corporate,TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,89.97,3,0,18.8937
US-2015-160707,C00000502,2021-12-16,Standard Class,Consumer,OFF-BI-10000309,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements 9/16 Spine Black,12.176,1,0.2,4.4138
US-2015-160708,C00000559,2022-10-17,Standard Class,Corporate,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7,0,12.9129
US-2015-160709,C00000822,2022-09-28,First Class,Corporate,OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,20.04,3,0,9.6192
US-2015-160710,C00000043,2023-05-22,Standard Class,Home Office,OFF-BI-10002225,Office Supplies,Binders,Square Ring Data Binders Rigid 75 Pt. Covers 11 x 14-7/8,82.56,5,0.2,28.896
US-2015-160711,C00000501,2023-05-04,Second Class,Home Office,FUR-TA-10002958,Furniture,Tables,Bevis Oval Conference Table Walnut,2348.82,9,0,399.2994
US-2015-160712,C00000826,2020-05-20,Standard Class,Consumer,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,56.704,2,0.2,19.1376
US-2015-160713,C00000828,2023-02-18,Standard Class,Home Office,OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,20.936,1,0.2,7.0659
US-2015-160714,C00000583,2022-01-11,Standard Class,Corporate,TEC-PH-10002583,Technology,Phones,iOttie HLCRIO102 Car Mount,39.98,2,0,1.999
US-2015-160715,C00000117,2022-01-19,Standard Class,Corporate,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,2275.5,10,0,386.835
US-2015-160716,C00000268,2021-12-07,Same Day,Consumer,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,68.46,7,0,31.4916
US-2015-160717,C00000199,2020-12-28,Standard Class,Consumer,FUR-BO-10002598,Furniture,Bookcases,Hon Metal Bookcases Putty,283.92,4,0,82.3368
US-2015-160718,C00000231,2023-07-18,Standard Class,Corporate,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,13.392,8,0.7,-9.8208
US-2015-160719,C00000033,2023-06-01,Standard Class,Consumer,OFF-BI-10003876,Office Supplies,Binders,Green Canvas Binder for 8-1/2 x 14 Sheets,128.4,3,0,64.2
US-2015-160720,C00000981,2019-11-16,Second Class,Consumer,TEC-PH-10003171,Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,134.85,3,0,37.758
US-2015-160721,C00000280,2022-05-12,Standard Class,Consumer,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.422,2,0.3,-5.8346
US-2015-160722,C00000322,2021-07-15,Second Class,Corporate,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,9.552,3,0.6,-3.8208
US-2015-160723,C00000293,2023-07-04,Standard Class,Consumer,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176
