date_received,issue category,channel,company_response,timely_response,consumer_disputed,complaint_id,order_id
20 April 2023,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1936930,US-2015-151306
03 July 2023,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1435238,US-2015-155847
21 January 2022,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1537464,US-2015-151349
21 March 2023,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1627236,US-2015-157273
22 February 2021,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1723447,US-2015-159093
17 March 2020,New Product or Feature Request,Branch,Closed with relief,Yes,No,CR0034610,US-2015-150684
24 November 2021,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1470323,US-2015-159032
05 February 2022,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,Yes,CR1990253,US-2015-151874
28 August 2021,No First Call Resolution,Phone Support,Closed with explanation,Yes,,CR2319723,US-2015-157720
20 August 2022,New Product or Feature Request,Email,Closed with explanation,Yes,No,CR1809005,US-2015-154030
09 September 2019,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1900945,US-2015-160318
10 June 2022,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR2136255,US-2015-153976
05 September 2022,Poor Product or Service,Email,Closed with explanation,Yes,No,CR2089964,US-2015-155241
26 April 2021,Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,Yes,Yes,CR0394315,US-2015-159627
10 March 2019,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR1713275,US-2015-157083
06 July 2022,Long wait on hold,Email,Closed with non-monetary relief,Yes,No,CR1080256,US-2015-159436
06 January 2021,Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,Yes,No,CR0855237,US-2015-152223
14 July 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,No,,CR0220184,US-2015-158155
02 August 2022,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR0559272,US-2015-150966
13 February 2019,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR2223424,US-2015-154670
02 February 2023,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1350626,US-2015-158728
03 November 2020,New Product or Feature Request,Mobile App,Closed with relief,Yes,No,CR0035411,US-2015-154644
13 May 2019,Unavailable or Out of Stock Product,Phone Support,Closed with relief,Yes,No,CR0057298,US-2015-155202
10 May 2022,Long wait on hold,Branch,Closed with monetary relief,Yes,No,CR0222601,US-2015-158880
07 September 2022,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR0221502,US-2015-156217
04 September 2019,No First Call Resolution,Email,Closed with explanation,Yes,No,CR0922485,US-2015-159009
12 December 2022,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,Yes,CR1101885,US-2015-154815
06 January 2020,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR1109288,US-2015-155337
27 March 2022,Unavailable or Out of Stock Product,Phone Support,Closed,Yes,No,CR1547100,US-2015-156362
15 November 2021,Lack of Follow Up,Mobile App,Closed with non-monetary relief,Yes,Yes,CR1452819,US-2015-157606
20 April 2023,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1994567,US-2015-153921
19 August 2021,Poor Product or Service,Email,Closed with explanation,Yes,Yes,CR1507211,US-2015-156300
09 June 2022,Long wait on hold,Email,Closed with non-monetary relief,Yes,No,CR1757625,US-2015-157459
14 October 2022,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR0285804,US-2015-160358
10 October 2019,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2181276,US-2015-158140
25 October 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2111298,US-2015-153650
08 March 2021,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1569460,US-2015-155086
05 October 2019,Lack of Follow Up,Mobile App,Closed with explanation,Yes,Yes,CR0440370,US-2015-160306
03 March 2019,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR2089516,US-2015-158665
26 February 2021,Poor Product or Service,Email,Closed with explanation,Yes,Yes,CR1789593,US-2015-156462
19 April 2019,Long wait on hold,Branch,Closed with explanation,Yes,No,CR1275516,US-2015-155812
06 September 2019,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR1856319,US-2015-152336
15 March 2023,Making Customers Repeat Their Problem,Mobile App,Closed with non-monetary relief,Yes,Yes,CR0702038,US-2015-152990
30 June 2022,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR1496351,US-2015-157391
03 August 2021,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR0951400,US-2015-157218
19 March 2023,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR0130587,US-2015-152688
03 March 2023,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR1937602,US-2015-157007
28 July 2020,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR2258943,US-2015-153313
02 February 2023,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR2042383,US-2015-150781
21 April 2020,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1397536,US-2015-160619
08 February 2019,Poor Product or Service,Email,Closed with explanation,Yes,,CR2384632,US-2015-151458
16 June 2022,No First Call Resolution,Phone Support,Closed with non-monetary relief,Yes,No,CR1653725,US-2015-153180
13 January 2021,Long wait on hold,Branch,Closed with monetary relief,Yes,No,CR2230679,US-2015-152918
08 January 2019,Unavailable or Out of Stock Product,Email,Closed with monetary relief,Yes,No,CR1813349,US-2015-160516
25 October 2022,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR1952426,US-2015-157595
20 December 2019,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR0942501,US-2015-157962
10 February 2022,New Product or Feature Request,Email,Closed with explanation,Yes,Yes,CR1185692,US-2015-155672
21 January 2022,Long wait on hold,Branch,Closed with explanation,Yes,Yes,CR0258067,US-2015-158533
19 March 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR2075840,US-2015-152688
15 November 2020,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR1485802,US-2015-153985
12 June 2021,Making Customers Repeat Their Problem,Phone Support,Closed with non-monetary relief,Yes,No,CR1751734,US-2015-153087
28 January 2023,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1639357,US-2015-159160
03 November 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1484289,US-2015-155552
25 February 2021,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR0108967,US-2015-157765
05 June 2020,Uninterested Service Rep,Branch,Closed with monetary relief,Yes,No,CR2110710,US-2015-157254
10 July 2023,Long wait on hold,Email,Closed with monetary relief,Yes,No,CR1919645,US-2015-153077
21 September 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1565363,US-2015-151665
09 September 2019,New Product or Feature Request,Email,Closed with explanation,Yes,No,CR1849018,US-2015-157259
15 January 2023,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR0434587,US-2015-155528
21 December 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1386876,US-2015-160409
29 November 2021,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR0682046,US-2015-153571
29 December 2021,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1773179,US-2015-151750
26 January 2021,New Product or Feature Request,Phone Support,Closed with monetary relief,Yes,No,CR2032442,US-2015-154240
17 October 2020,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2173059,US-2015-160483
21 September 2022,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR2249569,US-2015-156019
06 August 2023,Unavailable or Out of Stock Product,Email,In progress,Yes,,CR2378467,US-2015-159832
28 August 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR0705878,US-2015-152933
28 June 2019,Long wait on hold,Mobile App,Closed with explanation,Yes,No,CR1940052,US-2015-158180
28 January 2019,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR0132727,US-2015-152537
31 May 2021,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR1791074,US-2015-160261
12 April 2021,Long wait on hold,Mobile App,Closed with monetary relief,Yes,Yes,CR0447457,US-2015-156241
31 December 2021,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR2042159,US-2015-159795
15 December 2022,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR2125933,US-2015-155524
08 January 2021,Uninterested Service Rep,Email,Closed with monetary relief,Yes,No,CR2179090,US-2015-157002
10 August 2022,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1403361,US-2015-150922
24 August 2020,New Product or Feature Request,Email,Closed with monetary relief,Yes,No,CR1282520,US-2015-156552
21 June 2022,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR0294434,US-2015-155742
29 June 2019,Poor Product or Service,Mobile App,Closed with explanation,Yes,No,CR1759470,US-2015-151251
21 June 2022,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR1527767,US-2015-151509
04 March 2023,Poor Product or Service,Mobile App,Closed with non-monetary relief,Yes,No,CR1658837,US-2015-152581
10 December 2019,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,Yes,CR1571098,US-2015-158066
10 May 2022,No First Call Resolution,Email,Closed with explanation,Yes,No,CR0981611,US-2015-151065
26 October 2020,Lack of Follow Up,Branch,Closed with explanation,Yes,,CR2387263,US-2015-159503
02 September 2019,New Product or Feature Request,Email,Closed with monetary relief,Yes,No,CR1497460,US-2015-160214
07 March 2020,Long wait on hold,Email,Closed with non-monetary relief,Yes,No,CR2114448,US-2015-156588
29 June 2022,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1860467,US-2015-157312
21 March 2020,Poor Product or Service,Mobile App,Closed with explanation,Yes,No,CR2261646,US-2015-159342
19 December 2021,Lack of Follow Up,Email,Closed with monetary relief,Yes,No,CR2190357,US-2015-159725
01 November 2020,New Product or Feature Request,Branch,Closed with monetary relief,Yes,No,CR2192368,US-2015-152225
18 November 2019,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR0480573,US-2015-151611
09 April 2023,Long wait on hold,Mobile App,Closed with explanation,Yes,Yes,CR1497477,US-2015-155432
08 June 2022,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1940659,US-2015-153400
22 December 2022,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1761571,US-2015-155178
16 February 2022,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR2182212,US-2015-154418
14 April 2021,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR0310506,US-2015-157630
10 April 2023,Poor Product or Service,Branch,Closed with non-monetary relief,Yes,Yes,CR1863672,US-2015-160125
24 July 2019,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,Yes,CR1301819,US-2015-157326
01 June 2023,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,Yes,CR1531152,US-2015-153243
25 January 2020,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR0707883,US-2015-153300
30 August 2023,Uninterested Service Rep,Phone Support,Closed with monetary relief,Yes,Yes,CR1415128,US-2015-158896
11 October 2022,New Product or Feature Request,Mobile App,Closed with explanation,Yes,Yes,CR2267015,US-2015-153786
25 February 2022,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR0988096,US-2015-151656
08 August 2023,New Product or Feature Request,Mobile App,Closed with explanation,Yes,No,CR1809285,US-2015-153116
16 January 2023,Poor Product or Service,Mobile App,Closed with explanation,Yes,No,CR1572142,US-2015-154509
25 September 2022,Poor Product or Service,Phone Support,Closed with explanation,Yes,No,CR2119922,US-2015-159142
13 August 2021,Lack of Follow Up,Email,Closed with monetary relief,Yes,Yes,CR0138235,US-2015-151770
10 February 2021,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1660335,US-2015-159274
07 July 2020,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR2128698,US-2015-155630
10 March 2022,Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,Yes,,CR2388201,US-2015-155983
07 March 2019,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR2047441,US-2015-154083
26 February 2023,Poor Product or Service,Branch,Closed with explanation,Yes,Yes,CR1725606,US-2015-151907
02 January 2020,No First Call Resolution,Branch,Closed with non-monetary relief,Yes,No,CR1725353,US-2015-156852
03 March 2021,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR1725940,US-2015-157506
29 December 2020,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1816814,US-2015-155448
11 September 2021,Long wait on hold,Phone Support,Closed with explanation,Yes,No,CR1818167,US-2015-154306
08 November 2019,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1141314,US-2015-154995
26 December 2020,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR0223678,US-2015-160378
17 July 2021,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR0561186,US-2015-154880
16 July 2023,Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,Yes,No,CR2226204,US-2015-159617
11 July 2022,Long wait on hold,Email,Closed with monetary relief,Yes,No,CR1550372,US-2015-157093
24 June 2021,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1451644,US-2015-159643
01 August 2023,Lack of Follow Up,Email,In progress,Yes,,CR2344048,US-2015-158643
21 January 2020,Lack of Follow Up,Branch,Closed with relief,Yes,Yes,CR0027693,US-2015-158852
10 January 2020,New Product or Feature Request,Email,Closed with explanation,Yes,Yes,CR2100334,US-2015-158228
09 September 2023,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR0404310,US-2015-151078
17 December 2019,Long wait on hold,Email,Closed with explanation,Yes,No,CR1831653,US-2015-152434
15 April 2021,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR0858349,US-2015-158766
11 December 2020,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR2001165,US-2015-158622
12 April 2022,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1741538,US-2015-153360
27 February 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,Yes,CR1938865,US-2015-155518
12 November 2019,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR1352279,US-2015-151567
20 January 2021,Long wait on hold,Email,Closed with explanation,Yes,No,CR1471978,US-2015-159863
03 September 2019,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR1907400,US-2015-157320
10 December 2021,New Product or Feature Request,Email,Closed with monetary relief,Yes,No,CR1629513,US-2015-151631
24 May 2021,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1729929,US-2015-160141
03 October 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR2149853,US-2015-155864
12 July 2020,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR2047406,US-2015-156029
15 December 2020,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,Yes,CR2146555,US-2015-155596
29 April 2020,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR2195804,US-2015-157117
18 March 2022,No First Call Resolution,Mobile App,Closed with monetary relief,Yes,No,CR0411108,US-2015-154444
28 August 2022,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1910227,US-2015-156728
12 May 2020,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR1941865,US-2015-154442
09 December 2022,Uninterested Service Rep,Branch,Closed with monetary relief,Yes,Yes,CR1833581,US-2015-154827
13 October 2021,Lack of Follow Up,Phone Support,Closed,Yes,No,CR1481909,US-2015-155076
12 January 2023,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR2008113,US-2015-158450
15 February 2021,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR1355330,US-2015-155888
22 January 2019,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1835930,US-2015-159749
02 October 2021,Lack of Follow Up,Email,Closed with explanation,Yes,,CR2348744,US-2015-152389
02 September 2023,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,,CR2344749,US-2015-151875
02 December 2021,Lack of Follow Up,Mobile App,Closed with explanation,Yes,Yes,CR0869660,US-2015-155316
19 July 2021,Lack of Follow Up,Mobile App,Closed with monetary relief,Yes,No,CR1744554,US-2015-154259
16 December 2019,New Product or Feature Request,Mobile App,Closed,Yes,No,CR1475200,US-2015-152984
16 December 2021,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR1142808,US-2015-156429
25 March 2023,Uninterested Service Rep,Phone Support,Closed with monetary relief,Yes,No,CR2228854,US-2015-160211
20 May 2022,Uninterested Service Rep,Branch,Closed with monetary relief,Yes,No,CR1360875,US-2015-158656
15 July 2023,Lack of Follow Up,Mobile App,Closed with non-monetary relief,Yes,No,CR1550513,US-2015-153191
22 November 2021,Uninterested Service Rep,Branch,Closed with explanation,Yes,Yes,CR2151317,US-2015-157548
16 May 2023,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1148113,US-2015-157339
08 July 2021,No First Call Resolution,Branch,Closed with explanation,Yes,No,CR2004264,US-2015-157903
01 August 2019,Poor Product or Service,Mobile App,Closed with monetary relief,Yes,No,CR1734737,US-2015-159595
11 August 2019,Lack of Follow Up,Email,Closed with monetary relief,Yes,No,CR2230146,US-2015-158182
04 May 2020,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1942158,US-2015-158226
31 May 2023,New Product or Feature Request,Mobile App,Closed with explanation,Yes,No,CR1631397,US-2015-158289
13 September 2019,Lack of Follow Up,Mobile App,Closed with monetary relief,Yes,No,CR1741597,US-2015-159174
13 November 2022,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR0574864,US-2015-158712
10 June 2019,Lack of Follow Up,Mobile App,Closed with non-monetary relief,Yes,No,CR1455862,US-2015-159862
30 July 2021,Long wait on hold,Mobile App,Closed with non-monetary relief,Yes,Yes,CR1550303,US-2015-152187
06 May 2021,Lack of Follow Up,Branch,Closed with relief,Yes,Yes,CR0054494,US-2015-154843
27 January 2022,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1739982,US-2015-155811
07 April 2023,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1452043,US-2015-157526
18 February 2021,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR0865818,US-2015-154918
03 October 2023,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR2102776,US-2015-160304
08 September 2023,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR2104114,US-2015-158577
29 December 2020,Poor Product or Service,Email,Closed with explanation,Yes,Yes,CR1910899,US-2015-153582
04 November 2019,Long wait on hold,Mobile App,Closed with explanation,Yes,Yes,CR0229326,US-2015-155762
19 March 2019,Lack of Follow Up,Email,Closed with explanation,Yes,No,CR1630423,US-2015-158156
24 June 2020,Uninterested Service Rep,Branch,Closed with monetary relief,Yes,No,CR0229354,US-2015-158196
01 March 2023,Poor Product or Service,Mobile App,Closed with relief,Yes,No,CR0044568,US-2015-159626
11 March 2021,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,Yes,CR0567779,US-2015-152053
22 February 2020,Uninterested Service Rep,Branch,Closed with explanation,Yes,No,CR2149200,US-2015-151319
06 January 2023,Making Customers Repeat Their Problem,Email,Closed with monetary relief,Yes,No,CR0404275,US-2015-159849
21 November 2021,Lack of Follow Up,Email,Closed with explanation,Yes,Yes,CR0418611,US-2015-154708
22 October 2021,Long wait on hold,Email,Closed with explanation,Yes,No,CR1377630,US-2015-160175
28 December 2019,Lack of Follow Up,Phone Support,Closed with explanation,Yes,No,CR2236702,US-2015-158172
31 January 2022,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,No,Yes,CR0091084,US-2015-158595
25 January 2019,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR2157111,US-2015-155081
04 March 2019,Poor Product or Service,Mobile App,Closed with explanation,Yes,,CR1756498,US-2015-157915
24 November 2020,Poor Product or Service,Branch,Closed with explanation,Yes,No,CR0245763,US-2015-156349
20 May 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1484197,US-2015-150978
31 October 2022,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR2107839,US-2015-151113
24 January 2021,New Product or Feature Request,Email,Closed with non-monetary relief,Yes,No,CR1554501,US-2015-156870
21 July 2019,New Product or Feature Request,Phone Support,Closed with explanation,Yes,No,CR0887544,US-2015-153103
02 November 2019,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,Yes,CR0603229,US-2015-150997
30 September 2021,Long wait on hold,Mobile App,Closed with explanation,Yes,Yes,CR1165956,US-2015-151649
01 April 2022,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR1750681,US-2015-156740
30 July 2022,Poor Product or Service,Branch,Closed with monetary relief,Yes,No,CR1459299,US-2015-152743
28 March 2022,Lack of Follow Up,Phone Support,Closed with explanation,Yes,,CR2349389,US-2015-155323
31 May 2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1834278,US-2015-153177
15 March 2023,Poor Product or Service,Email,Closed with explanation,Yes,No,CR2015196,US-2015-152990
29 August 2021,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,Yes,CR1912592,US-2015-155553
26 May 2022,Lack of Follow Up,Phone Support,Closed with non-monetary relief,Yes,No,CR1630524,US-2015-154394
06 October 2021,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR2011177,US-2015-152694
30 December 2022,Lack of Follow Up,Phone Support,Closed with non-monetary relief,Yes,No,CR1775172,US-2015-159079
20 February 2022,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR0121560,US-2015-151960
17 March 2020,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR1494677,US-2015-158687
24 July 2019,Poor Product or Service,Email,Closed with explanation,Yes,No,CR0277914,US-2015-152087
04 September 2021,Uninterested Service Rep,Email,Closed with monetary relief,Yes,No,CR2112926,US-2015-155025
10 December 2021,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR1193863,US-2015-155691
25 July 2021,Poor Product or Service,Email,Closed with monetary relief,Yes,No,CR2032168,US-2015-159604
18 August 2021,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,Yes,No,CR1752002,US-2015-153113
15 November 2020,Uninterested Service Rep,Branch,Closed with non-monetary relief,Yes,Yes,CR1645965,US-2015-153831
05 February 2022,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1565229,US-2015-153441
24 May 2021,New Product or Feature Request,Mobile App,Closed with monetary relief,Yes,No,CR0437926,US-2015-160146
12 April 2022,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,Yes,CR2081319,US-2015-153000
24 February 2020,Uninterested Service Rep,Email,Closed with explanation,Yes,No,CR1850371,US-2015-157540
24 January 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR2258552,US-2015-159554
20 December 2019,Making Customers Repeat Their Problem,Phone Support,Closed with explanation,Yes,No,CR1919514,US-2015-160124
25 October 2022,Unavailable or Out of Stock Product,Email,In progress,Yes,,CR2379569,US-2015-152390
17 October 2021,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1490998,US-2015-151543
13 June 2020,Uninterested Service Rep,Branch,Closed with non-monetary relief,Yes,No,CR1389361,US-2015-154491
07 August 2023,Lack of Follow Up,Branch,Closed with explanation,Yes,Yes,CR2172002,US-2015-154400
04 August 2022,Making Customers Repeat Their Problem,Branch,Closed with monetary relief,Yes,No,CR0947307,US-2015-152334
09 May 2022,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,No,CR0688050,US-2015-158159
06 October 2019,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR2147799,US-2015-153046
29 May 2023,Long wait on hold,Email,Closed with explanation,Yes,No,CR1750285,US-2015-151083
26 April 2023,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR0230239,US-2015-152443
12 June 2023,New Product or Feature Request,Branch,Closed with explanation,Yes,Yes,CR1159924,US-2015-159141
01 June 2022,No First Call Resolution,Email,Closed with explanation,Yes,No,CR1943347,US-2015-153189
04 April 2023,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,Yes,No,CR1550838,US-2015-156261
10 December 2021,Long wait on hold,Mobile App,Closed with non-monetary relief,Yes,No,CR2235451,US-2015-151631
15 February 2020,New Product or Feature Request,Phone Support,Closed with explanation,Yes,,CR2350802,US-2015-158029
02 June 2020,New Product or Feature Request,Phone Support,Closed with explanation,Yes,Yes,CR2155262,US-2015-153249
16 May 2020,No First Call Resolution,Mobile App,Closed with explanation,Yes,No,CR1630364,US-2015-158815
