date_received,issue category,channel,company_response,resolved_date,timely_response,consumer_disputed,complaint_id,order_id
"Thursday, January 20, 2022",Poor Product or Service,Branch,Closed with explanation,"Thursday, January 27, 2022",TRUE,FALSE,CR2089516,US-2015-158665
"Monday, December 19, 2022",Poor Product or Service,Email,Closed with explanation,"Friday, December 23, 2022",TRUE,TRUE,CR1789593,US-2015-156462
"Thursday, August 25, 2022",Long wait on hold,Branch,Closed with explanation,"Saturday, August 27, 2022",TRUE,FALSE,CR1275516,US-2015-155812
"Monday, November 22, 2021",Lack of Follow Up,Email,Closed with explanation,"Wednesday, November 24, 2021",TRUE,FALSE,CR1856319,US-2015-152336
"Sunday, November 22, 2020",Making Customers Repeat Their Problem,Mobile App,Closed with non-monetary relief,"Saturday, November 28, 2020",TRUE,TRUE,CR0702038,US-2015-152990
"Saturday, November 19, 2022",No First Call Resolution,Branch,Closed with explanation,"Sunday, November 20, 2022",TRUE,FALSE,CR1496351,US-2015-157391
"Sunday, November 15, 2020",No First Call Resolution,Branch,Closed with explanation,"Monday, November 16, 2020",TRUE,FALSE,CR0951400,US-2015-157218
"Tuesday, August 17, 2021",No First Call Resolution,Mobile App,Closed with explanation,"Friday, August 20, 2021",TRUE,FALSE,CR0130587,US-2015-152688
"Monday, September 21, 2020",Uninterested Service Rep,Branch,Closed with explanation,"Sunday, September 27, 2020",TRUE,FALSE,CR1937602,US-2015-157007
"Saturday, October 9, 2021",New Product or Feature Request,Phone Support,Closed with explanation,"Friday, October 15, 2021",TRUE,FALSE,CR2258943,US-2015-153313
"Tuesday, November 22, 2022",Lack of Follow Up,Branch,Closed with monetary relief,"Thursday, November 24, 2022",TRUE,FALSE,CR2042383,US-2015-150781
"Monday, July 31, 2023",Poor Product or Service,Mobile App,Closed with explanation,"Friday, August 4, 2023",TRUE,TRUE,CR1397536,US-2015-160619
"Tuesday, November 8, 2022",Poor Product or Service,Email,Closed with explanation,"Friday, November 11, 2022",TRUE,,CR2384632,US-2015-151458
"Tuesday, March 3, 2020",No First Call Resolution,Phone Support,In-Progress,,FALSE,TRUE,CR1653725,US-2015-153180
"Saturday, December 9, 2023",Long wait on hold,Branch,Closed with monetary relief,"Friday, January 17, 2020",TRUE,FALSE,CR2230679,US-2015-152918
"Monday, October 10, 2022",Unavailable or Out of Stock Product,Email,Closed with monetary relief,"Thursday, July 16, 2020",TRUE,FALSE,CR1813349,US-2015-160516
"Thursday, November 11, 2021",New Product or Feature Request,Phone Support,Closed with explanation,"Friday, February 4, 2022",TRUE,FALSE,CR1952426,US-2015-157595
"Wednesday, June 30, 2021",Lack of Follow Up,Phone Support,Closed with explanation,"Monday, October 10, 2022",TRUE,FALSE,CR0942501,US-2015-157962
"Wednesday, August 16, 2023",New Product or Feature Request,Email,Closed with explanation,"Sunday, March 15, 2020",TRUE,TRUE,CR1185692,US-2015-155672
"Saturday, July 17, 2021",Long wait on hold,Branch,Closed with explanation,"Saturday, May 13, 2023",TRUE,TRUE,CR0258067,US-2015-158533
"Friday, August 13, 2021",Lack of Follow Up,Branch,Closed with explanation,"Tuesday, September 20, 2022",TRUE,FALSE,CR2075840,US-2015-152688
"Sunday, June 21, 2020",Uninterested Service Rep,Branch,Closed with explanation,"Friday, February 10, 2023",TRUE,FALSE,CR1485802,US-2015-153985
"Friday, April 24, 2020",Making Customers Repeat Their Problem,Phone Support,Closed with non-monetary relief,"Tuesday, July 19, 2022",TRUE,FALSE,CR1751734,US-2015-153087
"Monday, August 23, 2021",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Sunday, July 9, 2023",TRUE,FALSE,CR1639357,US-2015-159160
"Thursday, November 11, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Sunday, November 27, 2022",TRUE,FALSE,CR1484289,US-2015-155552
"Tuesday, May 3, 2022",Poor Product or Service,Mobile App,Closed with explanation,"Sunday, July 23, 2023",TRUE,TRUE,CR0108967,US-2015-157765
"Sunday, May 9, 2021",Uninterested Service Rep,Branch,Closed with monetary relief,"Friday, May 5, 2023",TRUE,FALSE,CR2110710,US-2015-157254
"Friday, August 18, 2023",Long wait on hold,Email,Closed with monetary relief,"Sunday, July 11, 2021",TRUE,FALSE,CR1919645,US-2015-153077
"Saturday, February 18, 2023",No First Call Resolution,Mobile App,Closed with explanation,"Saturday, April 17, 2021",TRUE,FALSE,CR1565363,US-2015-151665
"Wednesday, August 5, 2020",New Product or Feature Request,Email,Closed with explanation,"Friday, July 8, 2022",TRUE,FALSE,CR1849018,US-2015-157259
"Tuesday, November 17, 2020",New Product or Feature Request,Phone Support,Closed with explanation,"Saturday, December 26, 2020",TRUE,TRUE,CR0434587,US-2015-155528
"Friday, October 2, 2020",No First Call Resolution,Mobile App,Closed with explanation,"Tuesday, October 11, 2022",TRUE,FALSE,CR1386876,US-2015-160409
"Thursday, September 21, 2023",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Thursday, March 31, 2022",TRUE,FALSE,CR0682046,US-2015-153571
"Saturday, January 9, 2021",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Friday, April 24, 2020",TRUE,FALSE,CR1773179,US-2015-151750
"Wednesday, February 17, 2021",New Product or Feature Request,Phone Support,Closed with monetary relief,"Monday, January 31, 2022",TRUE,FALSE,CR2032442,US-2015-154240
"Friday, November 10, 2023",No First Call Resolution,Phone Support,Closed with explanation,"Saturday, September 9, 2023",TRUE,FALSE,CR2173059,US-2015-160483
"Sunday, December 12, 2021",New Product or Feature Request,Phone Support,Closed with explanation,"Tuesday, September 21, 2021",TRUE,FALSE,CR2249569,US-2015-156019
"Friday, October 27, 2023",Unavailable or Out of Stock Product,Email,Closed with explanation,"Tuesday, August 25, 2020",TRUE,,CR2378467,US-2015-159832
"Saturday, September 5, 2020",Lack of Follow Up,Branch,Closed with explanation,"Thursday, April 16, 2020",TRUE,TRUE,CR0705878,US-2015-152933
"Wednesday, March 15, 2023",Long wait on hold,Mobile App,Closed with explanation,"Sunday, June 21, 2020",TRUE,FALSE,CR1940052,US-2015-158180
"Sunday, September 19, 2021",Poor Product or Service,Branch,Closed with explanation,"Saturday, February 1, 2020",TRUE,FALSE,CR0132727,US-2015-152537
"Friday, March 26, 2021",New Product or Feature Request,Phone Support,Closed with explanation,"Sunday, September 24, 2023",TRUE,TRUE,CR1791074,US-2015-160261
"Thursday, August 24, 2023",Long wait on hold,Mobile App,Closed with monetary relief,"Thursday, May 7, 2020",TRUE,TRUE,CR0447457,US-2015-156241
"Tuesday, June 1, 2021",Lack of Follow Up,Branch,Closed with explanation,"Monday, March 15, 2021",TRUE,FALSE,CR2042159,US-2015-159795
"Sunday, October 9, 2022",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Thursday, October 15, 2020",TRUE,FALSE,CR2125933,US-2015-155524
"Monday, December 27, 2021",Uninterested Service Rep,Email,Closed with monetary relief,"Tuesday, May 25, 2021",TRUE,FALSE,CR2179090,US-2015-157002
"Monday, October 2, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Monday, October 24, 2022",TRUE,FALSE,CR1403361,US-2015-150922
"Tuesday, August 1, 2023",New Product or Feature Request,Email,Closed with monetary relief,"Sunday, September 26, 2021",TRUE,FALSE,CR1282520,US-2015-156552
"Friday, April 29, 2022",No First Call Resolution,Mobile App,Closed with explanation,"Friday, July 7, 2023",TRUE,FALSE,CR0294434,US-2015-155742
"Wednesday, October 28, 2020",Poor Product or Service,Mobile App,Closed with explanation,"Friday, August 28, 2020",TRUE,FALSE,CR1759470,US-2015-151251
"Friday, March 6, 2020",New Product or Feature Request,Branch,Closed with explanation,"Monday, June 1, 2020",TRUE,FALSE,CR1527767,US-2015-151509
"Sunday, September 6, 2020",Poor Product or Service,Mobile App,Closed with non-monetary relief,"Sunday, January 8, 2023",TRUE,FALSE,CR1658837,US-2015-152581
"Monday, August 8, 2022",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Saturday, July 4, 2020",TRUE,TRUE,CR1571098,US-2015-158066
"Monday, April 4, 2022",No First Call Resolution,Email,Closed with explanation,"Monday, April 20, 2020",TRUE,FALSE,CR0981611,US-2015-151065
"Monday, March 28, 2022",Lack of Follow Up,Branch,Closed with explanation,"Monday, October 16, 2023",TRUE,,CR2387263,US-2015-159503
"Sunday, September 19, 2021",New Product or Feature Request,Email,Closed with monetary relief,"Saturday, August 7, 2021",TRUE,FALSE,CR1497460,US-2015-160214
"Tuesday, July 11, 2023",Long wait on hold,Email,Closed with non-monetary relief,"Saturday, April 29, 2023",TRUE,FALSE,CR2114448,US-2015-156588
"Tuesday, October 13, 2020",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Wednesday, February 23, 2022",TRUE,FALSE,CR1860467,US-2015-157312
"Monday, November 8, 2021",Poor Product or Service,Mobile App,Closed with explanation,"Monday, April 3, 2023",TRUE,FALSE,CR2261646,US-2015-159342
"Thursday, August 20, 2020",Lack of Follow Up,Email,Closed with monetary relief,"Sunday, August 20, 2023",TRUE,FALSE,CR2190357,US-2015-159725
"Monday, April 6, 2020",New Product or Feature Request,Branch,Closed with monetary relief,"Friday, September 30, 2022",TRUE,FALSE,CR2192368,US-2015-152225
"Tuesday, March 1, 2022",Lack of Follow Up,Phone Support,Closed with explanation,"Wednesday, August 19, 2020",TRUE,TRUE,CR0480573,US-2015-151611
"Friday, June 5, 2020",Long wait on hold,Mobile App,Closed with explanation,"Wednesday, March 16, 2022",TRUE,TRUE,CR1497477,US-2015-155432
"Thursday, September 1, 2022",Unavailable or Out of Stock Product,Email,Closed with explanation,"Tuesday, January 28, 2020",TRUE,FALSE,CR1940659,US-2015-153400
"Friday, July 30, 2021",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Wednesday, July 8, 2020",TRUE,FALSE,CR1761571,US-2015-155178
"Saturday, June 19, 2021",No First Call Resolution,Branch,Closed with explanation,"Friday, January 17, 2020",TRUE,FALSE,CR2182212,US-2015-154418
"Wednesday, February 9, 2022",Unavailable or Out of Stock Product,Email,Closed with explanation,"Friday, October 29, 2021",TRUE,FALSE,CR0310506,US-2015-157630
"Monday, September 13, 2021",Poor Product or Service,Branch,Closed with non-monetary relief,"Sunday, May 28, 2023",TRUE,TRUE,CR1863672,US-2015-160125
"Sunday, January 29, 2023",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Thursday, September 23, 2021",TRUE,TRUE,CR1301819,US-2015-157326
"Wednesday, April 14, 2021",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Monday, October 24, 2022",TRUE,TRUE,CR1531152,US-2015-153243
"Wednesday, February 19, 2020",Lack of Follow Up,Mobile App,Closed with explanation,"Saturday, May 27, 2023",TRUE,FALSE,CR0707883,US-2015-153300
"Friday, July 24, 2020",Uninterested Service Rep,Phone Support,Closed with monetary relief,"Monday, December 5, 2022",TRUE,TRUE,CR1415128,US-2015-158896
"Tuesday, May 23, 2023",New Product or Feature Request,Mobile App,Closed with explanation,"Monday, July 27, 2020",TRUE,TRUE,CR2267015,US-2015-153786
"Thursday, August 13, 2020",Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,"Tuesday, October 20, 2020",TRUE,FALSE,CR0988096,US-2015-151656
"Friday, June 11, 2021",New Product or Feature Request,Mobile App,Closed with explanation,"Friday, June 23, 2023",TRUE,FALSE,CR1809285,US-2015-153116
"Monday, July 3, 2023",Poor Product or Service,Mobile App,Closed with explanation,"Sunday, October 22, 2023",TRUE,FALSE,CR1572142,US-2015-154509
"Saturday, February 29, 2020",Poor Product or Service,Phone Support,Closed with explanation,"Wednesday, September 28, 2022",TRUE,FALSE,CR2119922,US-2015-159142
"Tuesday, April 6, 2021",Lack of Follow Up,Email,Closed with monetary relief,"Saturday, July 11, 2020",TRUE,TRUE,CR0138235,US-2015-151770
"Thursday, January 26, 2023",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Friday, October 1, 2021",TRUE,FALSE,CR1660335,US-2015-159274
"Wednesday, November 30, 2022",Lack of Follow Up,Phone Support,Closed with explanation,"Friday, June 10, 2022",TRUE,TRUE,CR2128698,US-2015-155630
"Monday, May 18, 2020",Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,"Wednesday, July 7, 2021",TRUE,,CR2388201,US-2015-155983
"Wednesday, October 4, 2023",Lack of Follow Up,Phone Support,Closed with explanation,"Sunday, September 11, 2022",TRUE,TRUE,CR2047441,US-2015-154083
"Tuesday, July 6, 2021",Poor Product or Service,Branch,Closed with explanation,"Sunday, February 5, 2023",TRUE,TRUE,CR1725606,US-2015-151907
"Monday, April 12, 2021",No First Call Resolution,Branch,Closed with non-monetary relief,"Monday, September 26, 2022",TRUE,FALSE,CR1725353,US-2015-156852
"Saturday, May 6, 2023",Uninterested Service Rep,Branch,Closed with explanation,"Tuesday, February 4, 2020",TRUE,FALSE,CR1725940,US-2015-157506
"Thursday, June 1, 2023",Lack of Follow Up,Mobile App,Closed with explanation,"Thursday, August 5, 2021",TRUE,FALSE,CR1816814,US-2015-155448
"Tuesday, May 30, 2023",Long wait on hold,Phone Support,Closed with explanation,"Saturday, March 14, 2020",TRUE,FALSE,CR1818167,US-2015-154306
"Sunday, May 22, 2022",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Saturday, February 27, 2021",TRUE,FALSE,CR1141314,US-2015-154995
"Thursday, August 25, 2022",Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,"Wednesday, March 22, 2023",TRUE,FALSE,CR0223678,US-2015-160378
"Tuesday, June 13, 2023",New Product or Feature Request,Phone Support,Closed with explanation,"Wednesday, March 17, 2021",TRUE,TRUE,CR0561186,US-2015-154880
"Tuesday, November 7, 2023",Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,"Monday, November 14, 2022",TRUE,FALSE,CR2226204,US-2015-159617
"Friday, September 15, 2023",Long wait on hold,Email,Closed with monetary relief,"Sunday, September 13, 2020",TRUE,FALSE,CR1550372,US-2015-157093
"Saturday, March 13, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Saturday, September 23, 2023",TRUE,FALSE,CR1451644,US-2015-159643
"Sunday, March 5, 2023",Lack of Follow Up,Email,Closed with monetary relief,"Friday, April 28, 2023",TRUE,,CR2344048,US-2015-158643
"Sunday, May 24, 2020",Lack of Follow Up,Branch,Closed with relief,"Tuesday, November 3, 2020",TRUE,TRUE,CR0027693,US-2015-158852
"Friday, October 2, 2020",New Product or Feature Request,Email,Closed with explanation,"Friday, November 3, 2023",TRUE,TRUE,CR2100334,US-2015-158228
"Saturday, February 27, 2021",Lack of Follow Up,Phone Support,Closed with explanation,"Saturday, January 4, 2020",TRUE,TRUE,CR0404310,US-2015-151078
"Sunday, December 18, 2022",Long wait on hold,Email,Closed with explanation,"Thursday, October 22, 2020",TRUE,FALSE,CR1831653,US-2015-152434
"Wednesday, December 2, 2020",Lack of Follow Up,Branch,Closed with explanation,"Tuesday, November 10, 2020",TRUE,TRUE,CR0858349,US-2015-158766
"Saturday, July 15, 2023",Making Customers Repeat Their Problem,Email,Closed with explanation,"Saturday, October 17, 2020",TRUE,FALSE,CR2001165,US-2015-158622
"Wednesday, November 1, 2023",Uninterested Service Rep,Phone Support,Closed with explanation,"Saturday, November 7, 2020",TRUE,FALSE,CR1741538,US-2015-153360
"Tuesday, June 2, 2020",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Saturday, September 18, 2021",TRUE,TRUE,CR1938865,US-2015-155518
"Saturday, October 29, 2022",Uninterested Service Rep,Mobile App,Closed with explanation,"Wednesday, November 30, 2022",TRUE,FALSE,CR1352279,US-2015-151567
"Monday, October 4, 2021",Long wait on hold,Email,Closed with explanation,"Monday, September 5, 2022",TRUE,FALSE,CR1471978,US-2015-159863
"Sunday, September 24, 2023",Lack of Follow Up,Email,Closed with explanation,"Thursday, May 18, 2023",TRUE,FALSE,CR1907400,US-2015-157320
"Thursday, August 5, 2021",New Product or Feature Request,Email,Closed with monetary relief,"Friday, April 24, 2020",TRUE,FALSE,CR1629513,US-2015-151631
"Friday, August 7, 2020",No First Call Resolution,Mobile App,Closed with explanation,"Tuesday, October 12, 2021",TRUE,FALSE,CR1729929,US-2015-160141
"Thursday, November 12, 2020",Making Customers Repeat Their Problem,Mobile App,Closed with explanation,"Monday, November 1, 2021",TRUE,FALSE,CR2149853,US-2015-155864
"Thursday, February 24, 2022",Making Customers Repeat Their Problem,Email,Closed with explanation,"Monday, October 11, 2021",TRUE,FALSE,CR2047406,US-2015-156029
"Wednesday, September 23, 2020",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Saturday, January 2, 2021",TRUE,TRUE,CR2146555,US-2015-155596
"Tuesday, July 28, 2020",Uninterested Service Rep,Mobile App,Closed with explanation,"Friday, June 9, 2023",TRUE,FALSE,CR2195804,US-2015-157117
"Monday, January 6, 2020",No First Call Resolution,Mobile App,Closed with monetary relief,"Wednesday, January 29, 2020",TRUE,FALSE,CR0411108,US-2015-154444
"Saturday, July 10, 2021",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Sunday, August 29, 2021",TRUE,FALSE,CR1910227,US-2015-156728
"Tuesday, June 14, 2022",Lack of Follow Up,Email,Closed with explanation,"Sunday, May 2, 2021",TRUE,FALSE,CR1941865,US-2015-154442
"Saturday, March 13, 2021",Uninterested Service Rep,Branch,Closed with monetary relief,"Saturday, November 28, 2020",TRUE,TRUE,CR1833581,US-2015-154827
"Sunday, June 12, 2022",Lack of Follow Up,Phone Support,Closed,"Tuesday, May 4, 2021",TRUE,FALSE,CR1481909,US-2015-155076
"Monday, March 16, 2020",Unavailable or Out of Stock Product,Email,Closed with explanation,"Sunday, July 12, 2020",TRUE,FALSE,CR2008113,US-2015-158450
"Wednesday, March 23, 2022",Lack of Follow Up,Branch,Closed with explanation,"Friday, October 23, 2020",TRUE,TRUE,CR1355330,US-2015-155888
"Sunday, August 15, 2021",Unavailable or Out of Stock Product,Email,Closed with explanation,"Monday, May 2, 2022",TRUE,FALSE,CR1835930,US-2015-159749
