order_id,client_id,enquiry_date,order_date,ship_mode,Segment,product_id,Category,sub_category,Sales,Quantity
US-2015-156238,C00000791,2021-09-11,2020-01-06,Standard Class,Consumer,TEC-MA-10004626,Technology,Machines,480,4
US-2015-158600,C00000290,2023-08-02,2020-01-06,Standard Class,Corporate,OFF-AR-10000940,Office Supplies,Art,16.464,7
US-2015-158716,C00000351,2022-09-16,2020-01-06,Standard Class,Home Office,TEC-PH-10004447,Technology,Phones,222.384,2
US-2015-159314,C00000147,2021-01-24,2020-01-06,Standard Class,Consumer,FUR-CH-10002961,Furniture,Chairs,363.92,5
US-2015-159325,C00000103,2021-08-03,2020-01-06,Same Day,Home Office,OFF-BI-10004040,Office Supplies,Binders,4.144,4
US-2015-159867,C00000833,2020-10-03,2020-01-06,Standard Class,Home Office,OFF-PA-10004609,Office Supplies,Paper,6.48,1
US-2015-160457,C00000918,2021-10-06,2020-01-06,First Class,Consumer,OFF-BI-10002026,Office Supplies,Binders,17.43,1
US-2015-160458,C00000316,2022-05-26,2020-01-06,First Class,Consumer,FUR-CH-10003846,Furniture,Chairs,161.568,2
US-2015-151577,C00000897,2020-01-06,2020-01-07,Standard Class,Corporate,OFF-PA-10001950,Office Supplies,Paper,20.016,3
US-2015-152918,C00000424,2023-12-04,2020-01-07,Standard Class,Corporate,OFF-SU-10004261,Office Supplies,Supplies,41.376,3
US-2015-155834,C00000827,2022-05-02,2020-01-07,Second Class,Consumer,FUR-FU-10003919,Furniture,Furnishings,32.712,2
US-2015-159100,C00000787,2022-08-23,2020-01-07,Standard Class,Corporate,OFF-AR-10001860,Office Supplies,Art,34.7,5
US-2015-159935,C00000217,2022-10-03,2020-01-07,Standard Class,Consumer,OFF-AP-10004708,Office Supplies,Appliances,15.224,2
US-2015-150703,C00000003,2020-06-03,2020-01-08,Standard Class,Consumer,OFF-PA-10000726,Office Supplies,Paper,9.11,1
US-2015-151541,C00000716,2023-09-23,2020-01-08,First Class,Home Office,OFF-PA-10004071,Office Supplies,Paper,55.48,1
US-2015-152169,C00000721,2022-04-26,2020-01-08,First Class,Consumer,FUR-TA-10001768,Furniture,Tables,210.008,1
US-2015-154914,C00000128,2020-12-04,2020-01-08,First Class,Home Office,TEC-AC-10003657,Technology,Accessories,54.384,2
US-2015-156011,C00000326,2023-04-30,2020-01-08,Standard Class,Consumer,OFF-FA-10000053,Office Supplies,Fasteners,5.67,3
US-2015-156947,C00000243,2022-01-05,2020-01-08,Standard Class,Consumer,FUR-CH-10001714,Furniture,Chairs,211.246,2
US-2015-157216,C00000103,2023-12-25,2020-01-08,First Class,Consumer,TEC-AC-10001109,Technology,Accessories,71.976,3
US-2015-159136,C00000162,2020-02-06,2020-01-08,Second Class,Home Office,OFF-PA-10000357,Office Supplies,Paper,166.44,3
US-2015-159576,C00000888,2021-10-24,2020-01-08,Second Class,Corporate,FUR-FU-10002253,Furniture,Furnishings,257.64,6
US-2015-159579,C00000692,2023-04-25,2020-01-08,Same Day,Home Office,TEC-PH-10000702,Technology,Phones,7.992,1
US-2015-154002,C00000238,2020-12-22,2020-01-09,First Class,Home Office,OFF-ST-10001370,Office Supplies,Storage,70.98,1
US-2015-157401,C00000146,2022-10-14,2020-01-09,First Class,Consumer,FUR-CH-10004675,Furniture,Chairs,763.28,5
US-2015-160354,C00000454,2020-06-25,2020-01-09,Standard Class,Corporate,FUR-CH-10002880,Furniture,Chairs,221.382,2
US-2015-160472,C00000331,2022-07-21,2020-01-09,Standard Class,Consumer,TEC-AC-10004396,Technology,Accessories,72.6,5
US-2015-151496,C00000757,2022-05-25,2020-01-10,Standard Class,Consumer,OFF-PA-10002615,Office Supplies,Paper,30.87,7
US-2015-153370,C00000508,2022-05-19,2020-01-10,Standard Class,Consumer,OFF-AR-10003045,Office Supplies,Art,14.7,5
US-2015-153562,C00000010,2021-10-09,2020-01-10,Second Class,Consumer,OFF-ST-10000760,Office Supplies,Storage,153.78,11
US-2015-153595,C00000483,2020-03-21,2020-01-10,Standard Class,Corporate,TEC-PH-10003645,Technology,Phones,258.576,2
US-2015-154222,C00000995,2023-08-15,2020-01-10,First Class,Home Office,OFF-PA-10003465,Office Supplies,Paper,37.94,2
US-2015-155271,C00001000,2020-11-14,2020-01-10,Standard Class,Home Office,OFF-BI-10004308,Office Supplies,Binders,67.136,4
US-2015-156232,C00000251,2023-02-28,2020-01-10,First Class,Home Office,FUR-CH-10002304,Furniture,Chairs,127.302,7
US-2015-156442,C00000456,2021-08-05,2020-01-10,Second Class,Home Office,OFF-AR-10003056,Office Supplies,Art,17.12,4
US-2015-157444,C00000442,2021-05-19,2020-01-10,Standard Class,Consumer,OFF-ST-10000563,Office Supplies,Storage,191.88,6
US-2015-158781,C00000683,2021-11-11,2020-01-10,First Class,Home Office,TEC-PH-10003589,Technology,Phones,43.176,3
US-2015-160162,C00000942,2022-07-31,2020-01-10,Second Class,Consumer,OFF-AR-10003903,Office Supplies,Art,204.85,5
US-2015-152534,C00000420,2021-09-08,2020-01-11,Second Class,Consumer,FUR-BO-10002268,Furniture,Bookcases,145.764,6
US-2015-153930,C00000184,2021-07-04,2020-01-11,First Class,Consumer,OFF-AP-10004655,Office Supplies,Appliances,45.28,4
US-2015-155085,C00000036,2023-12-16,2020-01-11,Standard Class,Consumer,TEC-AC-10002335,Technology,Accessories,83.976,3
US-2015-155330,C00000826,2023-01-13,2020-01-11,Second Class,Consumer,OFF-BI-10004236,Office Supplies,Binders,58.72,4
US-2015-156231,C00000880,2020-08-27,2020-01-11,Standard Class,Corporate,FUR-FU-10001979,Furniture,Furnishings,122.91,3
US-2015-157646,C00000727,2020-08-11,2020-01-11,Second Class,Consumer,OFF-BI-10001634,Office Supplies,Binders,11.648,2
US-2015-155789,C00000589,2022-06-10,2020-01-12,Standard Class,Corporate,OFF-PA-10001497,Office Supplies,Paper,131.904,3
US-2015-157599,C00000166,2024-01-03,2020-01-12,Standard Class,Corporate,TEC-AC-10001114,Technology,Accessories,159.96,4
US-2015-159070,C00000827,2021-09-08,2020-01-12,Same Day,Consumer,FUR-FU-10003553,Furniture,Furnishings,165.048,3
US-2015-151795,C00001012,2023-10-10,2020-01-13,Standard Class,Consumer,OFF-BI-10002432,Office Supplies,Binders,4.554,3
US-2015-152266,C00000980,2022-07-28,2020-01-13,Standard Class,Corporate,FUR-BO-10003441,Furniture,Bookcases,205.9992,3
US-2015-154211,C00000008,2023-03-04,2020-01-13,Standard Class,Home Office,TEC-AC-10002842,Technology,Accessories,666.4,7
US-2015-157644,C00000185,2023-11-11,2020-01-13,Standard Class,Consumer,OFF-PA-10001937,Office Supplies,Paper,36.288,7
US-2015-159593,C00000108,2023-03-09,2020-01-13,Standard Class,Consumer,OFF-BI-10003719,Office Supplies,Binders,39.92,2
US-2015-159720,C00000262,2021-05-28,2020-01-13,Second Class,Consumer,OFF-BI-10001510,Office Supplies,Binders,36.672,2
US-2015-159913,C00000395,2023-05-17,2020-01-13,Standard Class,Consumer,OFF-BI-10001107,Office Supplies,Binders,2.896,1
US-2015-160248,C00000760,2022-02-05,2020-01-13,Second Class,Consumer,OFF-AR-10003514,Office Supplies,Art,27.86,7
US-2015-152500,C00001042,2022-10-21,2020-01-14,Standard Class,Consumer,FUR-TA-10004607,Furniture,Tables,310.443,3
US-2015-152971,C00000593,2021-05-30,2020-01-14,Standard Class,Corporate,OFF-BI-10004817,Office Supplies,Binders,9.584,1
US-2015-154074,C00000813,2022-09-16,2020-01-14,Standard Class,Consumer,OFF-PA-10002246,Office Supplies,Paper,15.48,3
US-2015-154188,C00000223,2023-01-15,2020-01-14,Standard Class,Consumer,OFF-BI-10003274,Office Supplies,Binders,1.592,2
US-2015-155473,C00000685,2021-03-21,2020-01-14,Second Class,Consumer,OFF-PA-10004971,Office Supplies,Paper,17.34,3
US-2015-158749,C00000842,2023-11-29,2020-01-14,Standard Class,Consumer,OFF-EN-10002312,Office Supplies,Envelopes,11.09,1
US-2015-153915,C00000712,2020-06-01,2020-01-15,Standard Class,Consumer,OFF-ST-10000636,Office Supplies,Storage,83.7,5
US-2015-154572,C00000342,2022-11-11,2020-01-15,Standard Class,Corporate,TEC-AC-10001267,Technology,Accessories,59.9,2
US-2015-154836,C00000470,2021-04-10,2020-01-15,First Class,Consumer,OFF-LA-10003766,Office Supplies,Labels,9.45,3
US-2015-157045,C00000677,2020-05-08,2020-01-15,First Class,Corporate,OFF-PA-10002713,Office Supplies,Paper,13.76,2
US-2015-153450,C00000082,2022-11-24,2020-01-16,Second Class,Consumer,TEC-AC-10002550,Technology,Accessories,159.75,5
US-2015-154197,C00000315,2021-02-21,2020-01-16,First Class,Consumer,FUR-CH-10000225,Furniture,Chairs,194.352,3
US-2015-155010,C00000758,2021-07-19,2020-01-16,Second Class,Consumer,OFF-ST-10000078,Office Supplies,Storage,424.272,2
US-2015-156277,C00000364,2022-06-08,2020-01-16,Standard Class,Corporate,OFF-BI-10002852,Office Supplies,Binders,13.184,4
US-2015-156349,C00000292,2020-09-06,2020-01-16,Standard Class,Consumer,OFF-AR-10001166,Office Supplies,Art,30.32,4
US-2015-156975,C00000574,2023-07-14,2020-01-16,First Class,Consumer,OFF-PA-10000418,Office Supplies,Paper,104.85,1
US-2015-157015,C00000905,2020-07-08,2020-01-16,Standard Class,Consumer,FUR-FU-10001861,Furniture,Furnishings,77.6,4
US-2015-159280,C00000880,2023-08-01,2020-01-16,Standard Class,Corporate,FUR-CH-10004997,Furniture,Chairs,657.93,5
US-2015-150642,C00001001,2022-01-20,2020-01-17,Standard Class,Corporate,FUR-TA-10004152,Furniture,Tables,241.92,4
US-2015-151282,C00000629,2022-09-11,2020-01-17,Standard Class,Consumer,OFF-PA-10000659,Office Supplies,Paper,20.94,3
US-2015-152908,C00000224,2023-12-31,2020-01-17,Standard Class,Home Office,FUR-FU-10004017,Furniture,Furnishings,258.072,3
US-2015-155967,C00000966,2021-03-30,2020-01-17,Second Class,Consumer,FUR-FU-10004351,Furniture,Furnishings,77.92,8
US-2015-156574,C00000232,2020-01-23,2020-01-17,Standard Class,Consumer,OFF-ST-10001128,Office Supplies,Storage,443.92,5
US-2015-160436,C00000041,2022-04-22,2020-01-17,Standard Class,Corporate,TEC-AC-10004975,Technology,Accessories,1099.5,10
US-2015-151579,C00001040,2021-06-10,2020-01-18,Standard Class,Consumer,FUR-FU-10002253,Furniture,Furnishings,103.056,3
US-2015-152089,C00000964,2022-06-16,2020-01-18,Standard Class,Corporate,OFF-EN-10003072,Office Supplies,Envelopes,19.4,5
US-2015-152418,C00000311,2022-10-11,2020-01-18,Standard Class,Consumer,OFF-BI-10001634,Office Supplies,Binders,8.736,4
US-2015-158797,C00000575,2022-01-13,2020-01-18,First Class,Consumer,OFF-ST-10002554,Office Supplies,Storage,156.512,4
US-2015-159138,C00000691,2020-12-25,2020-01-18,Second Class,Consumer,FUR-FU-10004904,Furniture,Furnishings,303.92,5
US-2015-159219,C00001046,2021-06-25,2020-01-18,Second Class,Consumer,OFF-PA-10000130,Office Supplies,Paper,3.424,1
US-2015-160504,C00000558,2023-06-08,2020-01-18,Standard Class,Home Office,OFF-ST-10001370,Office Supplies,Storage,511.056,9
US-2015-151429,C00000666,2020-10-20,2020-01-19,Standard Class,Consumer,TEC-PH-10002185,Technology,Phones,16.68,3
US-2015-152923,C00000518,2020-10-04,2020-01-19,Standard Class,Consumer,TEC-PH-10001924,Technology,Phones,111.984,2
US-2015-159330,C00000583,2022-01-08,2020-01-19,First Class,Corporate,OFF-ST-10002205,Office Supplies,Storage,155.82,7
US-2015-159460,C00000958,2023-02-26,2020-01-19,Second Class,Home Office,OFF-PA-10003790,Office Supplies,Paper,18.272,1
US-2015-159937,C00000292,2022-07-18,2020-01-19,Second Class,Consumer,FUR-TA-10002958,Furniture,Tables,913.43,5
US-2015-150944,C00000290,2020-05-03,2020-01-20,Standard Class,Consumer,OFF-BI-10002813,Office Supplies,Binders,3.168,2
US-2015-151568,C00000680,2021-03-23,2020-01-20,First Class,Corporate,OFF-LA-10003148,Office Supplies,Labels,18.9,3
US-2015-152621,C00000008,2023-11-10,2020-01-20,Standard Class,Corporate,OFF-PA-10003036,Office Supplies,Paper,17.472,3
US-2015-153420,C00000745,2020-02-11,2020-01-20,Standard Class,Home Office,OFF-AP-10000026,Office Supplies,Appliances,73.164,6
US-2015-154058,C00000036,2022-08-26,2020-01-20,First Class,Consumer,OFF-BI-10004781,Office Supplies,Binders,50.784,2
US-2015-155701,C00000204,2021-10-31,2020-01-20,Standard Class,Consumer,TEC-PH-10001299,Technology,Phones,539.964,6
US-2015-155927,C00000544,2022-09-27,2020-01-20,Standard Class,Corporate,OFF-ST-10001321,Office Supplies,Storage,46.26,3
US-2015-157877,C00000922,2022-03-11,2020-01-20,Standard Class,Consumer,OFF-AR-10003251,Office Supplies,Art,5.56,2
US-2015-152772,C00000796,2023-11-18,2020-01-21,Standard Class,Consumer,FUR-CH-10000454,Furniture,Chairs,975.92,5
US-2015-153575,C00000825,2021-06-25,2020-01-21,Standard Class,Corporate,TEC-PH-10001817,Technology,Phones,859.2,3
US-2015-155095,C00000924,2023-04-13,2020-01-21,Standard Class,Consumer,OFF-AP-10002906,Office Supplies,Appliances,0.444,1
US-2015-155159,C00000365,2023-06-05,2020-01-21,Standard Class,Corporate,OFF-LA-10000452,Office Supplies,Labels,3.15,1
US-2015-156137,C00000787,2023-06-10,2020-01-21,Standard Class,Consumer,FUR-FU-10000550,Furniture,Furnishings,19.92,4
US-2015-156161,C00000392,2022-05-14,2020-01-21,Standard Class,Consumer,OFF-PA-10003349,Office Supplies,Paper,15.552,3
US-2015-151861,C00000381,2023-08-22,2020-01-22,Second Class,Home Office,OFF-AR-10000034,Office Supplies,Art,33.92,8
US-2015-154035,C00000675,2020-02-03,2020-01-22,Standard Class,Home Office,TEC-PH-10002645,Technology,Phones,1499.97,5
US-2015-154083,C00000911,2023-09-28,2020-01-22,Standard Class,Consumer,OFF-PA-10001892,Office Supplies,Paper,24.448,4
US-2015-154332,C00000189,2020-03-27,2020-01-22,Standard Class,Corporate,OFF-BI-10002764,Office Supplies,Binders,2.907,3
US-2015-155722,C00001029,2020-11-04,2020-01-22,Standard Class,Corporate,OFF-PA-10004041,Office Supplies,Paper,23.68,4
US-2015-158627,C00000450,2020-10-05,2020-01-22,Standard Class,Home Office,OFF-AR-10002956,Office Supplies,Art,44.02,2
US-2015-151746,C00000293,2022-09-19,2020-01-23,Standard Class,Home Office,OFF-LA-10002034,Office Supplies,Labels,39.28,8
US-2015-154952,C00000859,2023-08-14,2020-01-23,Standard Class,Consumer,OFF-AR-10002952,Office Supplies,Art,106.8,10
US-2015-157035,C00000349,2020-06-28,2020-01-23,Standard Class,Consumer,TEC-PH-10003215,Technology,Phones,179.7,6
US-2015-158467,C00000517,2021-12-17,2020-01-23,Standard Class,Consumer,OFF-BI-10003650,Office Supplies,Binders,1577.94,3
US-2015-159438,C00000683,2021-05-14,2020-01-23,Standard Class,Consumer,OFF-PA-10001357,Office Supplies,Paper,143.7,3
US-2015-160042,C00000851,2022-05-21,2020-01-23,Standard Class,Consumer,OFF-PA-10003465,Office Supplies,Paper,37.94,2
US-2015-160405,C00000362,2021-06-09,2020-01-23,Standard Class,Corporate,OFF-BI-10004492,Office Supplies,Binders,37.896,4
US-2015-152735,C00000996,2023-07-10,2020-01-24,Standard Class,Home Office,OFF-BI-10002160,Office Supplies,Binders,15.24,5
US-2015-160038,C00000754,2023-10-01,2020-01-24,Second Class,Corporate,OFF-AP-10002191,Office Supplies,Appliances,143.952,3
US-2015-151779,C00000155,2023-03-05,2020-01-25,Standard Class,Consumer,TEC-PH-10002923,Technology,Phones,73.98,2
US-2015-153500,C00000259,2021-12-07,2020-01-25,Second Class,Consumer,OFF-ST-10002485,Office Supplies,Storage,87.92,4
US-2015-157573,C00000616,2023-05-20,2020-01-25,Standard Class,Consumer,FUR-FU-10003878,Furniture,Furnishings,48.896,4
US-2015-157860,C00000338,2021-10-14,2020-01-25,Second Class,Corporate,OFF-AR-10002375,Office Supplies,Art,10.496,4
US-2015-158581,C00000686,2022-12-24,2020-01-25,Standard Class,Consumer,FUR-FU-10000193,Furniture,Furnishings,64.96,5
US-2015-160073,C00000500,2022-12-16,2020-01-25,Standard Class,Corporate,OFF-BI-10004970,Office Supplies,Binders,26.432,8
US-2015-151830,C00000409,2020-05-19,2020-01-26,Standard Class,Corporate,OFF-PA-10001033,Office Supplies,Paper,98.376,3
US-2015-155242,C00000202,2020-09-06,2020-01-26,Standard Class,Consumer,OFF-BI-10000343,Office Supplies,Binders,3.928,1
US-2015-157191,C00000162,2023-11-15,2020-01-26,Standard Class,Consumer,OFF-BI-10001543,Office Supplies,Binders,28.792,1
US-2015-158097,C00000974,2023-04-18,2020-01-26,Same Day,Home Office,OFF-PA-10000357,Office Supplies,Paper,122.97,3
US-2015-153563,C00000015,2022-11-29,2020-01-27,Standard Class,Corporate,OFF-AP-10001366,Office Supplies,Appliances,87.84,8
US-2015-153716,C00000749,2021-08-24,2020-01-27,Standard Class,Consumer,FUR-CH-10001146,Furniture,Chairs,71.246,2
US-2015-156059,C00000624,2020-07-22,2020-01-27,Standard Class,Consumer,FUR-FU-10002364,Furniture,Furnishings,14.76,2
US-2015-156621,C00001000,2023-07-20,2020-01-27,Standard Class,Home Office,OFF-EN-10004846,Office Supplies,Envelopes,10.64,5
US-2015-158331,C00000746,2021-09-22,2020-01-27,Standard Class,Consumer,OFF-ST-10003123,Office Supplies,Storage,199.74,6
US-2015-152296,C00000916,2023-09-29,2020-01-28,Second Class,Home Office,OFF-SU-10000381,Office Supplies,Supplies,27.93,3
US-2015-153268,C00000631,2021-01-11,2020-01-28,Standard Class,Home Office,OFF-AR-10001940,Office Supplies,Art,3.28,1
US-2015-153944,C00000694,2023-04-03,2020-01-28,Standard Class,Consumer,OFF-AP-10000891,Office Supplies,Appliances,262.24,2
US-2015-154785,C00000970,2021-09-23,2020-01-28,First Class,Consumer,TEC-AC-10003832,Technology,Accessories,66.26,2
US-2015-157155,C00000554,2021-06-30,2020-01-28,Same Day,Corporate,OFF-ST-10000885,Office Supplies,Storage,67.15,5
US-2015-157494,C00000019,2023-04-13,2020-01-28,First Class,Home Office,OFF-ST-10003641,Office Supplies,Storage,315.2,4
US-2015-158698,C00000729,2020-04-13,2020-01-28,Standard Class,Consumer,OFF-ST-10003479,Office Supplies,Storage,93.456,3
US-2015-159807,C00000420,2021-11-11,2020-01-28,Second Class,Corporate,OFF-AR-10001374,Office Supplies,Art,32.4,5
US-2015-150721,C00000934,2022-11-27,2020-01-29,First Class,Consumer,TEC-AC-10002018,Technology,Accessories,16.776,3
US-2015-151020,C00000272,2022-03-27,2020-01-29,First Class,Consumer,OFF-PA-10002986,Office Supplies,Paper,46.76,7
US-2015-156151,C00000909,2022-12-10,2020-01-29,First Class,Corporate,TEC-PH-10004897,Technology,Phones,69.93,7
US-2015-156985,C00000659,2022-10-25,2020-01-29,Second Class,Home Office,OFF-AR-10001468,Office Supplies,Art,59.904,2
US-2015-158631,C00001015,2021-10-12,2020-01-29,Standard Class,Corporate,OFF-ST-10000777,Office Supplies,Storage,60.416,2
US-2015-159927,C00000875,2022-10-13,2020-01-29,First Class,Corporate,FUR-FU-10004671,Furniture,Furnishings,42.408,3
US-2015-150921,C00001010,2020-05-23,2020-01-30,Second Class,Consumer,OFF-AR-10002952,Office Supplies,Art,26.7,2
US-2015-151955,C00000524,2020-08-14,2020-01-30,First Class,Consumer,TEC-PH-10001530,Technology,Phones,494.376,3
US-2015-155222,C00000922,2022-04-16,2020-01-30,First Class,Consumer,FUR-CH-10002372,Furniture,Chairs,113.372,2
US-2015-157481,C00000939,2023-01-13,2020-01-30,First Class,Consumer,OFF-PA-10001534,Office Supplies,Paper,12.96,2
US-2015-159681,C00001018,2021-07-21,2020-01-30,Standard Class,Consumer,OFF-BI-10001510,Office Supplies,Binders,91.68,5
US-2015-150861,C00000752,2022-01-24,2020-01-31,Standard Class,Consumer,OFF-PA-10004569,Office Supplies,Paper,18.264,3
US-2015-151843,C00000698,2021-10-22,2020-01-31,First Class,Consumer,OFF-AR-10000658,Office Supplies,Art,34.65,3
US-2015-156092,C00000717,2022-04-22,2020-01-31,Second Class,Consumer,OFF-BI-10001757,Office Supplies,Binders,11.808,8
US-2015-157060,C00000981,2022-05-23,2020-01-31,Standard Class,Corporate,OFF-LA-10001045,Office Supplies,Labels,5.22,2
US-2015-159022,C00000421,2023-12-28,2020-01-31,First Class,Consumer,OFF-ST-10000604,Office Supplies,Storage,69.52,2
US-2015-159732,C00000756,2022-07-12,2020-01-31,Standard Class,Home Office,OFF-BI-10001634,Office Supplies,Binders,29.12,4
US-2015-152250,C00001018,2022-09-04,2020-02-01,Standard Class,Consumer,OFF-FA-10000735,Office Supplies,Fasteners,11.68,4
US-2015-152429,C00001009,2022-11-22,2020-02-01,Standard Class,Corporate,OFF-AP-10004708,Office Supplies,Appliances,213.136,7
US-2015-156851,C00000904,2021-12-09,2020-02-01,Standard Class,Consumer,FUR-FU-10000308,Furniture,Furnishings,435.26,7
US-2015-157569,C00000195,2021-07-11,2020-02-01,Standard Class,Home Office,OFF-PA-10001826,Office Supplies,Paper,19.44,3
US-2015-158257,C00000712,2021-02-20,2020-02-01,Standard Class,Consumer,TEC-PH-10003589,Technology,Phones,71.96,5
US-2015-159671,C00000642,2021-07-18,2020-02-01,Standard Class,Corporate,OFF-EN-10000056,Office Supplies,Envelopes,149.352,3
US-2015-151692,C00000401,2021-01-06,2020-02-02,Standard Class,Consumer,OFF-AR-10004022,Office Supplies,Art,71.96,2
US-2015-152335,C00000827,2022-04-29,2020-02-02,Second Class,Corporate,OFF-LA-10001175,Office Supplies,Labels,14.4,5
US-2015-153255,C00000358,2023-09-12,2020-02-02,First Class,Consumer,OFF-AP-10004859,Office Supplies,Appliances,58.24,4
US-2015-153998,C00000519,2022-10-11,2020-02-02,Standard Class,Consumer,TEC-AC-10002323,Technology,Accessories,106.08,6
US-2015-154084,C00000384,2021-05-08,2020-02-02,Standard Class,Consumer,OFF-BI-10001525,Office Supplies,Binders,5.715,5
US-2015-157242,C00000191,2022-04-20,2020-02-02,First Class,Home Office,FUR-FU-10003268,Furniture,Furnishings,199.9,5
US-2015-159504,C00000391,2020-08-01,2020-02-02,Standard Class,Corporate,OFF-EN-10004386,Office Supplies,Envelopes,57.576,3
US-2015-152060,C00000780,2020-03-22,2020-02-03,Standard Class,Corporate,OFF-BI-10001658,Office Supplies,Binders,14.952,2
US-2015-152538,C00001010,2023-08-29,2020-02-03,First Class,Corporate,OFF-PA-10004243,Office Supplies,Paper,37.94,2
US-2015-153008,C00000443,2022-11-10,2020-02-03,Standard Class,Consumer,TEC-PH-10003811,Technology,Phones,359.97,5
US-2015-153089,C00000838,2020-07-11,2020-02-03,Standard Class,Consumer,FUR-CH-10000422,Furniture,Chairs,127.386,2
US-2015-153486,C00000629,2020-08-15,2020-02-03,Same Day,Consumer,OFF-PA-10003129,Office Supplies,Paper,195.64,4
US-2015-155239,C00000742,2022-01-31,2020-02-03,Standard Class,Home Office,OFF-PA-10004451,Office Supplies,Paper,10.368,2
US-2015-156458,C00001018,2022-08-16,2020-02-03,Standard Class,Corporate,TEC-AC-10002217,Technology,Accessories,37.6,2
US-2015-157266,C00000927,2020-02-17,2020-02-03,Standard Class,Consumer,FUR-CH-10004860,Furniture,Chairs,484.704,6
US-2015-157530,C00000406,2023-08-04,2020-02-03,Second Class,Consumer,OFF-PA-10001622,Office Supplies,Paper,10.896,3
US-2015-158403,C00000730,2022-09-21,2020-02-03,Standard Class,Consumer,TEC-PH-10002170,Technology,Phones,55.992,1
US-2015-150881,C00000444,2022-06-24,2020-02-04,Standard Class,Home Office,OFF-ST-10002562,Office Supplies,Storage,18.76,2
US-2015-151000,C00000267,2022-12-02,2020-02-04,Standard Class,Corporate,OFF-PA-10004359,Office Supplies,Paper,419.4,5
