JobID,Failure_90d,Field,FormationType,CompletionType,ESP_Model,OilRate_bpd,WaterCut_frac,GasOilRatio_scf_bbl,IntakePressure_psia,DischargePressure_psia,THP_psia,WellheadTemp_C,MotorTemp_C,Vibration_RMS,Power_kW,DriveFrequency_Hz,RunTimeSincePull_days,SandRate_mgL,ScaleInhibitor_ppm,CorrosionInhibitor_ppm,ChokeSize_in,TubingID_in,Fail_Prob_Internal,kW_per_bbl,DP_Margin_psia
ESPJOB-0000647,0,Upper Zakum,Sandstone,Single-Stage,ESP-562,2820.3,0.7045,223.4,538.6,2171.4,515.5,73.8,119.1,4.302,362.8,64.04,177.8,32.96,4.2,13.6,0.5,3.5,0.27,0.1287,1632.8
ESPJOB-0000963,0,Lower Zakum,Sandstone,Single-Stage,ESP-538,2669.0,0.3811,543.7,606.0,2843.6,441.9,90.8,122.0,3.611,392.4,61.71,8.5,4.25,33.5,9.2,1.0,4.5,0.1009,0.147,2237.6
ESPJOB-0000314,1,Bu Hasa,Sandstone,Single-Stage,ESP-675,3575.1,0.4662,212.8,646.8,2622.6,523.1,66.5,154.2,4.381,441.0,69.45,764.8,13.26,2.2,22.3,0.75,3.5,0.2013,0.1234,1975.8
ESPJOB-0000502,0,Lower Zakum,Sandstone,Multi-Stage,ESP-400,3640.0,0.2702,436.9,751.1,3359.3,819.3,69.9,138.6,4.813,535.8,53.44,336.1,9.55,4.1,31.6,0.75,2.875,0.241,0.1472,2608.1
ESPJOB-0000877,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,2304.7,0.517,324.6,396.6,3046.9,524.1,76.3,122.7,3.352,351.8,48.64,193.2,14.8,40.7,30.3,1.25,3.5,0.2868,0.1526,2650.3
ESPJOB-0000765,0,Fateh,Carbonate,Single-Stage,ESP-400,3568.7,0.7537,358.8,788.4,3308.7,716.8,56.4,138.2,5.562,460.7,66.36,273.7,12.18,23.5,21.7,1.0,4.5,0.309,0.1291,2520.2
ESPJOB-0000444,0,Upper Zakum,Sandstone,Multi-Stage,ESP-562,2373.6,0.671,302.4,895.5,3274.2,575.3,74.6,121.3,3.618,322.7,55.04,233.1,29.68,27.8,25.7,1.0,2.375,0.2432,0.1359,2378.7
ESPJOB-0000906,0,Bab,Carbonate,Single-Stage,ESP-562,2325.1,0.0505,559.2,612.7,4746.0,901.5,78.9,114.8,2.313,327.3,49.46,299.2,15.03,39.2,39.7,1.0,3.5,0.0907,0.1408,4133.2
ESPJOB-0000308,1,SARB,Carbonate,Single-Stage,ESP-400,3798.5,0.4345,378.2,1116.8,3244.5,758.1,75.4,132.9,4.832,471.5,67.49,207.6,12.85,4.2,27.7,1.0,3.5,0.2265,0.1241,2127.7
ESPJOB-0000220,1,Lower Zakum,Sandstone,Single-Stage,ESP-538,2236.8,0.57,547.7,910.7,2944.0,723.0,66.4,118.8,3.263,292.8,58.61,293.0,7.0,35.6,3.5,1.0,2.875,0.2094,0.1309,2033.3
ESPJOB-0000173,0,Bab,Sandstone,Single-Stage,ESP-538,2361.0,0.1567,409.8,433.5,3378.7,600.4,77.2,107.8,3.784,285.9,61.37,353.7,45.57,70.4,20.5,1.5,3.5,0.255,0.1211,2945.3
ESPJOB-0000667,0,SARB,Sandstone,Single-Stage,ESP-675,2013.4,0.3609,382.4,534.3,2913.5,519.9,62.5,114.1,3.695,289.8,56.46,436.5,5.08,18.0,3.8,0.75,2.875,0.1667,0.1439,2379.3
ESPJOB-0000681,0,Bab,Carbonate,Single-Stage,ESP-675,1375.2,0.0894,213.3,741.9,2650.9,634.2,60.5,93.7,,200.4,55.95,280.4,39.02,82.1,42.6,0.5,2.875,0.0385,0.1457,1909.0
ESPJOB-0000188,0,Fateh,Sandstone,Single-Stage,ESP-562,4050.8,0.3032,410.1,1056.8,3922.6,549.8,90.9,148.0,4.143,539.0,53.65,190.0,4.75,31.7,9.6,0.5,2.875,0.1685,0.1331,2865.8
ESPJOB-0000035,0,SARB,Carbonate,Single-Stage,ESP-400,2589.5,0.3726,117.5,1136.7,3035.8,700.3,66.9,116.7,4.397,329.2,65.27,113.2,5.36,27.3,11.2,0.5,4.5,0.0422,0.1271,1899.1
ESPJOB-0000237,0,Lower Zakum,Shale,Single-Stage,ESP-400,1649.9,0.3205,213.9,741.1,3090.8,429.9,75.4,114.9,4.847,280.2,45.28,140.7,24.3,58.4,10.6,1.25,2.875,0.2406,0.1698,2349.6
ESPJOB-0000996,1,Bab,Sandstone,Single-Stage,ESP-538,888.4,0.3792,635.6,772.8,3724.0,812.3,73.0,79.1,3.218,124.3,47.69,105.3,55.97,27.1,16.2,0.75,2.375,0.1809,0.1399,2951.2
ESPJOB-0000007,0,Bab,Carbonate,Single-Stage,ESP-538,2699.2,0.2395,569.0,1107.6,4164.9,587.6,77.5,111.5,4.164,362.7,53.32,129.7,35.99,58.5,7.9,1.0,3.5,0.1236,0.1344,3057.3
ESPJOB-0000442,0,Lower Zakum,Sandstone,Multi-Stage,ESP-538,1593.7,0.5844,628.2,985.9,4230.1,856.3,70.9,103.8,3.651,244.5,69.79,336.0,28.94,32.2,24.5,1.0,3.5,0.318,0.1534,3244.2
ESPJOB-0000155,0,Bu Hasa,Carbonate,Multi-Stage,ESP-675,1820.5,0.3009,1427.0,667.0,3870.1,612.6,88.3,110.5,4.415,246.6,67.43,462.6,10.03,71.3,9.7,1.0,3.5,0.2616,0.1355,3203.2
ESPJOB-0000340,0,Bab,Sandstone,Single-Stage,ESP-538,3222.5,0.3596,291.8,749.3,3627.2,451.1,84.4,136.9,4.142,429.3,70.0,142.0,25.49,13.3,32.4,0.75,2.875,0.2438,0.1332,2877.8
ESPJOB-0000382,0,Fateh,Shale,Multi-Stage,ESP-400,1254.7,0.404,519.7,706.7,3523.4,714.3,65.3,99.2,5.632,218.9,54.94,492.5,142.99,64.4,0.2,0.5,2.375,0.5576,0.1744,2816.7
ESPJOB-0000194,0,Lower Zakum,Carbonate,Single-Stage,ESP-400,3212.8,0.0,132.0,851.1,3242.8,640.4,72.3,135.6,2.65,444.3,70.0,222.7,21.58,16.6,18.6,1.0,3.5,0.0616,0.1383,2391.7
ESPJOB-0000776,0,Fateh,Carbonate,Smart,ESP-538,3189.6,0.0,683.3,652.7,4194.1,797.2,81.5,111.7,3.026,431.4,59.87,151.4,12.1,71.1,32.6,1.0,2.375,0.0864,0.1352,3541.4
ESPJOB-0000976,0,Upper Zakum,Carbonate,Multi-Stage,ESP-562,2053.6,0.607,492.4,940.5,3797.6,670.6,81.8,111.2,4.213,285.7,57.83,19.8,5.12,13.5,0.2,0.75,2.875,0.1709,0.1391,2857.2
ESPJOB-0000033,1,Bab,Carbonate,Smart,ESP-538,3863.2,0.4039,1769.6,897.6,3368.1,644.7,67.2,152.0,6.446,477.2,62.19,283.6,31.7,47.0,9.3,1.25,4.5,0.3956,0.1235,2470.5
ESPJOB-0000862,1,Bu Hasa,Carbonate,Multi-Stage,ESP-400,74.3,0.7732,1055.9,730.7,2544.9,458.6,58.9,78.2,2.962,91.3,37.58,54.7,26.66,71.4,33.1,1.25,2.875,0.7355,1.2281,1814.3
ESPJOB-0000818,1,Upper Zakum,Sandstone,Single-Stage,ESP-400,3017.7,0.681,465.7,624.1,3336.1,610.8,73.4,141.1,3.503,444.4,50.16,284.5,12.97,32.2,2.7,1.0,3.5,0.3893,0.1473,2712.0
ESPJOB-0000366,0,Lower Zakum,Carbonate,Single-Stage,ESP-675,2199.3,0.4338,735.5,678.9,3743.7,602.7,70.2,99.7,3.083,262.8,45.52,423.8,9.8,7.3,8.9,1.25,3.5,0.2113,0.1195,3064.8
ESPJOB-0000015,0,Fateh,Sandstone,Single-Stage,ESP-400,1203.5,0.8738,583.7,932.6,3732.4,873.3,74.7,101.3,4.124,208.2,49.26,351.1,9.53,17.3,22.6,0.75,2.875,0.4651,0.173,2799.8
ESPJOB-0000390,1,SARB,Sandstone,Multi-Stage,ESP-538,2419.4,0.5231,898.5,966.1,3368.0,486.2,59.7,122.8,5.831,261.2,42.07,277.6,67.67,62.2,7.9,1.0,3.5,0.3487,0.1079,2401.9
ESPJOB-0000854,1,Upper Zakum,Sandstone,Single-Stage,ESP-400,2724.8,0.4333,1699.9,646.4,3270.7,674.3,73.3,125.7,3.583,402.8,58.39,30.3,12.45,33.6,41.3,0.75,2.875,0.3154,0.1478,2624.3
ESPJOB-0000913,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,1771.3,0.2808,360.3,776.1,3478.9,862.6,73.7,95.1,2.612,251.4,57.91,140.0,9.26,30.9,8.2,1.0,3.5,0.1038,0.142,2702.8
ESPJOB-0000809,1,Bu Hasa,Sandstone,Multi-Stage,ESP-675,1973.5,0.3384,522.2,1179.2,3519.7,821.3,75.9,111.5,4.856,281.1,57.14,540.2,25.8,41.0,16.9,1.25,2.875,0.3238,0.1424,2340.5
ESPJOB-0000275,0,Fateh,Carbonate,Single-Stage,ESP-562,314.8,0.5712,469.0,1150.2,3432.0,596.3,66.5,80.9,2.796,137.2,38.97,220.7,6.18,34.5,23.4,0.75,3.5,0.1323,0.4358,2281.7
ESPJOB-0000345,0,Upper Zakum,Carbonate,Single-Stage,ESP-675,2287.5,0.4391,787.3,806.9,3589.4,885.3,68.1,117.8,4.846,316.6,54.7,122.9,4.13,63.3,10.0,1.0,3.5,0.2415,0.1384,2782.5
ESPJOB-0000489,1,Lower Zakum,Carbonate,Multi-Stage,ESP-538,2737.6,0.7066,297.4,863.2,3525.3,875.1,85.0,123.2,5.964,375.0,61.37,505.6,44.92,6.9,6.6,0.75,2.375,0.4188,0.137,2662.1
ESPJOB-0000529,0,Fateh,Carbonate,Multi-Stage,ESP-675,3183.7,0.2544,230.6,1168.2,3606.4,562.0,86.8,127.2,4.21,400.9,41.58,103.0,10.22,2.6,27.7,1.25,2.875,0.157,0.1259,2438.2
ESPJOB-0000856,0,Bab,Carbonate,Single-Stage,ESP-562,3806.3,0.0638,91.2,972.2,4098.1,945.4,104.4,137.9,5.499,558.8,62.34,310.1,12.8,2.2,11.3,0.75,2.875,0.1384,0.1468,3125.9
ESPJOB-0000729,1,Bu Hasa,Sandstone,Single-Stage,ESP-400,1936.4,0.3845,317.7,665.1,3876.1,669.2,88.8,95.6,5.261,285.6,54.65,243.7,4.94,21.5,4.7,0.5,2.875,0.226,0.1475,3211.1
ESPJOB-0000024,0,SARB,Carbonate,Multi-Stage,ESP-400,3418.7,0.0508,151.8,916.9,3477.8,522.8,73.1,137.6,4.122,491.0,49.54,276.0,6.65,14.4,25.1,0.75,4.5,0.045,0.1436,2560.9
ESPJOB-0000158,0,Upper Zakum,Carbonate,Single-Stage,ESP-400,1722.3,0.0877,322.5,866.7,3634.9,860.5,75.3,102.5,3.011,260.0,52.96,80.5,6.95,31.0,28.2,1.25,3.5,0.0848,0.151,2768.2
ESPJOB-0000710,0,Bu Hasa,Sandstone,Multi-Stage,ESP-538,2707.1,0.0,510.5,754.1,3313.9,569.1,66.6,113.9,4.407,352.7,45.8,319.6,12.36,47.0,38.1,1.0,2.875,0.1021,0.1303,2559.7
ESPJOB-0000126,0,Bab,Sandstone,Multi-Stage,ESP-400,1791.6,0.3818,507.1,480.0,3131.4,556.0,66.0,100.0,4.06,273.9,54.71,577.3,3.43,35.5,16.5,1.0,2.375,0.2991,0.1529,2651.5
ESPJOB-0000567,0,Bu Hasa,Carbonate,Single-Stage,ESP-400,1945.0,0.7489,100.2,1117.1,3184.5,540.7,65.1,118.0,2.179,225.0,54.71,758.6,11.25,6.0,3.6,1.25,2.375,0.0961,0.1157,2067.4
ESPJOB-0000223,1,Upper Zakum,Shale,Multi-Stage,ESP-538,747.4,0.9507,449.2,983.1,3800.3,710.8,71.7,86.9,4.762,105.9,65.73,412.2,9.95,59.9,38.4,1.25,4.5,0.1414,0.1417,2817.1
ESPJOB-0000644,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,2121.8,0.537,273.4,715.1,3240.1,639.9,62.4,125.2,5.304,304.1,40.95,202.0,6.08,47.0,20.8,1.25,2.375,0.2656,0.1433,2525.0
ESPJOB-0000283,1,Upper Zakum,Shale,Single-Stage,ESP-675,2715.9,0.5176,747.3,641.8,4661.6,949.5,78.0,127.9,4.871,414.2,60.22,222.5,50.85,13.7,36.5,1.0,3.5,0.63,0.1525,4019.8
ESPJOB-0000089,0,Bab,Carbonate,Multi-Stage,ESP-562,1389.4,0.6494,401.1,857.3,3088.5,400.4,64.2,109.6,3.057,227.7,68.7,340.5,15.64,16.6,7.6,0.75,2.875,0.1217,0.1639,2231.2
ESPJOB-0000803,0,Bu Hasa,Shale,Multi-Stage,ESP-562,1337.8,0.323,405.9,890.4,3189.4,618.2,78.7,94.6,3.762,234.0,55.82,220.5,146.61,66.0,7.2,1.0,2.375,0.266,0.1749,2299.1
ESPJOB-0000256,1,Bu Hasa,Shale,Single-Stage,ESP-675,2686.4,0.8423,644.4,903.4,3801.3,849.0,74.4,152.4,5.523,413.7,62.74,388.8,41.27,7.8,3.6,0.75,2.875,0.7052,0.154,2897.9
ESPJOB-0000623,0,Bab,Sandstone,Multi-Stage,ESP-562,1503.3,0.4521,328.2,857.7,3054.3,393.5,77.3,113.5,2.731,263.8,45.6,419.3,32.24,14.6,0.5,0.5,2.375,0.252,0.1755,2196.6
ESPJOB-0000849,0,Bab,Sandstone,Single-Stage,ESP-538,3383.1,0.3272,638.1,831.6,3036.0,612.9,71.9,149.0,5.869,384.2,55.01,14.2,7.85,42.0,2.2,0.75,3.5,0.2218,0.1136,2204.4
ESPJOB-0000415,0,Bab,Carbonate,Single-Stage,ESP-562,2107.1,0.0,775.7,1044.5,2911.4,712.4,62.7,104.6,3.599,267.0,57.9,585.4,10.31,32.6,35.3,0.75,2.875,0.078,0.1267,1866.9
ESPJOB-0000846,1,Upper Zakum,Carbonate,Multi-Stage,ESP-400,3461.8,0.5355,491.8,1166.9,3604.3,603.5,75.2,148.2,6.574,407.1,57.06,63.6,31.79,11.6,20.7,1.0,2.875,0.2778,0.1176,2437.5
ESPJOB-0000733,0,Bu Hasa,Carbonate,Multi-Stage,ESP-562,2270.0,0.385,494.3,997.0,3579.1,836.9,87.0,112.0,5.726,345.5,61.84,206.1,5.19,28.4,12.8,0.5,3.5,0.1549,0.1522,2582.1
ESPJOB-0000814,0,Bu Hasa,Sandstone,Multi-Stage,ESP-562,2111.0,0.5631,671.2,675.5,2973.0,442.6,80.6,125.1,3.377,323.9,57.5,323.0,47.18,31.3,0.8,0.75,2.375,0.4328,0.1534,2297.5
ESPJOB-0000492,1,Bab,Sandstone,Multi-Stage,ESP-400,3490.6,0.5166,435.5,677.1,3312.6,649.6,82.0,143.3,6.689,491.8,61.29,275.2,21.58,18.2,22.8,1.25,3.5,0.3967,0.1409,2635.5
ESPJOB-0000413,0,Bab,Sandstone,Smart,ESP-538,3163.6,0.3357,522.9,604.5,3689.4,506.5,72.1,141.7,4.086,410.9,67.4,118.4,6.03,24.0,9.2,1.25,2.875,0.1775,0.1299,3084.8
ESPJOB-0000222,1,Bab,Sandstone,Smart,ESP-562,2338.0,0.4041,137.7,545.2,3448.4,636.3,55.1,123.9,4.131,410.8,55.33,373.1,23.04,76.9,18.9,1.0,2.375,0.2222,0.1757,2903.2
ESPJOB-0000836,0,Lower Zakum,Carbonate,Smart,ESP-400,1336.3,0.9663,245.8,533.1,2528.4,629.2,62.6,111.6,4.639,171.3,51.13,233.6,7.65,22.8,13.3,0.75,2.375,0.1412,0.1282,1995.3
ESPJOB-0000986,0,Fateh,Sandstone,Single-Stage,ESP-538,2454.1,0.4691,238.5,743.7,3057.0,539.2,76.6,127.0,4.664,429.9,52.7,116.9,3.95,38.4,7.8,1.0,2.375,0.131,0.1752,2313.3
ESPJOB-0000662,0,Bab,Sandstone,Multi-Stage,ESP-562,2164.5,0.3157,118.3,684.4,2556.5,523.5,59.0,119.4,4.171,234.2,51.15,105.1,10.69,37.2,23.4,1.0,3.5,0.0667,0.1082,1872.1
ESPJOB-0000094,1,Upper Zakum,Carbonate,Single-Stage,ESP-538,1500.7,0.5877,379.3,874.3,2781.5,472.1,61.9,95.8,3.151,213.3,63.43,400.3,3.82,55.3,16.5,1.25,2.375,0.1041,0.1421,1907.2
ESPJOB-0000890,0,Bu Hasa,Sandstone,Multi-Stage,ESP-675,3632.7,0.3523,334.2,455.2,3090.6,562.4,95.2,143.1,6.212,456.5,52.86,323.7,5.8,36.5,24.3,0.5,2.875,0.2442,0.1257,2635.5
ESPJOB-0000731,0,Bu Hasa,Sandstone,Smart,ESP-562,1053.6,0.5961,436.6,769.7,3629.0,706.1,76.1,87.0,3.498,172.9,56.75,331.1,21.26,6.6,44.1,1.25,2.875,0.2712,0.1642,2859.3
ESPJOB-0000672,0,SARB,Sandstone,Multi-Stage,ESP-562,4200.0,0.4282,540.7,1169.5,3518.7,664.3,92.6,151.3,5.507,520.1,56.81,147.2,31.13,2.8,7.2,1.25,2.875,0.3131,0.1238,2349.2
ESPJOB-0000362,0,Bu Hasa,Sandstone,Multi-Stage,ESP-538,2361.5,0.6463,95.8,1045.3,3667.2,721.3,56.5,116.6,5.578,353.9,61.7,121.0,0.74,41.8,37.5,1.0,2.375,0.0515,0.1499,2621.9
ESPJOB-0000932,0,Bu Hasa,Carbonate,Single-Stage,ESP-538,2306.7,0.3829,573.1,1124.1,2932.2,494.7,53.5,124.0,5.219,292.7,52.09,215.9,11.33,41.4,17.6,1.0,2.875,0.2585,0.1269,1808.1
ESPJOB-0000889,0,Bab,Carbonate,Multi-Stage,ESP-538,2052.5,0.4599,381.2,759.9,3353.6,682.9,68.6,117.7,2.765,244.2,48.81,335.7,8.36,57.2,12.4,0.75,4.5,0.176,0.119,2593.7
ESPJOB-0000924,0,Upper Zakum,Carbonate,Smart,ESP-538,4449.0,0.1553,208.5,684.9,2362.9,421.4,80.4,167.8,5.18,563.9,70.0,517.4,31.87,28.8,21.1,1.0,3.5,0.1483,0.1268,1678.1
ESPJOB-0000754,1,Bu Hasa,Sandstone,Single-Stage,ESP-562,3605.8,0.465,690.1,412.8,2863.2,534.2,75.0,145.3,5.056,420.4,48.37,524.6,7.41,13.0,32.2,0.5,3.5,0.3299,0.1166,2450.4
ESPJOB-0000839,0,Lower Zakum,Sandstone,Multi-Stage,ESP-538,1169.2,0.7545,341.2,833.2,3784.2,781.1,64.4,106.6,5.858,165.8,51.83,249.8,22.72,38.0,20.6,1.0,2.875,0.3961,0.1418,2951.0
ESPJOB-0000513,0,Upper Zakum,Carbonate,Multi-Stage,ESP-538,2798.9,0.1283,380.0,802.0,3823.7,710.7,80.3,121.7,3.488,406.5,49.63,113.6,41.05,51.6,19.9,1.0,3.5,0.1695,0.1452,3021.7
ESPJOB-0000339,0,Bab,Sandstone,Single-Stage,ESP-562,3021.3,0.4139,535.7,972.1,3333.4,447.1,78.4,125.1,4.547,420.5,52.38,250.6,14.72,34.9,12.7,1.25,3.5,0.1783,0.1392,2361.3
ESPJOB-0000737,0,Bu Hasa,Carbonate,Single-Stage,ESP-538,2036.8,0.2524,1147.1,832.4,3126.5,377.1,84.5,110.7,3.992,336.3,60.25,464.1,4.46,16.0,9.6,1.0,3.5,0.2854,0.1651,2294.2
ESPJOB-0000336,1,Bu Hasa,Carbonate,Single-Stage,ESP-538,3085.7,0.7541,359.4,385.6,2325.8,308.9,68.2,144.2,4.809,391.4,56.41,855.0,86.73,37.3,20.0,0.75,3.5,0.5259,0.1269,1940.2
ESPJOB-0000411,1,Bu Hasa,Carbonate,Single-Stage,ESP-562,2247.7,0.7977,468.0,943.6,3990.3,987.4,72.8,110.3,4.358,258.5,57.73,348.2,26.34,14.5,25.6,1.0,2.375,0.2981,0.115,3046.8
ESPJOB-0000171,0,Bu Hasa,Carbonate,Single-Stage,ESP-538,2356.5,0.2242,220.2,820.2,2588.8,378.0,68.7,112.0,5.229,336.9,55.53,229.0,9.85,41.4,16.1,1.25,2.375,0.1108,0.143,1768.6
ESPJOB-0000668,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,3883.8,0.4205,547.2,1006.3,3593.9,803.2,77.1,142.7,3.616,475.2,56.02,204.4,2.86,97.0,23.6,1.0,2.875,0.1152,0.1224,2587.6
ESPJOB-0000469,0,Fateh,Carbonate,Single-Stage,ESP-400,2631.7,0.5612,137.4,515.1,3973.5,741.1,68.5,120.3,2.968,397.9,70.0,403.8,12.49,20.3,11.2,1.25,2.875,0.3613,0.1512,3458.4
ESPJOB-0000985,0,SARB,Carbonate,Single-Stage,ESP-400,2281.9,0.4339,319.0,801.6,2962.2,371.0,81.2,118.4,5.19,325.8,64.68,180.7,13.24,48.0,65.5,0.75,2.375,0.2333,0.1428,2160.5
ESPJOB-0000790,0,Upper Zakum,Carbonate,Smart,ESP-400,2220.5,0.492,321.6,476.2,2849.5,696.1,71.5,115.3,4.576,283.3,54.21,197.9,10.32,22.5,24.0,1.25,3.5,0.2349,0.1276,2373.3
ESPJOB-0000626,0,Bu Hasa,Sandstone,Single-Stage,ESP-538,1544.9,0.4839,425.3,1226.7,3134.5,601.2,76.1,89.3,4.873,220.5,41.18,276.4,10.81,3.1,26.3,1.25,2.875,0.1603,0.1427,1907.7
ESPJOB-0000083,0,Lower Zakum,Carbonate,Multi-Stage,ESP-538,2287.5,0.0,130.8,743.7,3549.9,462.3,62.6,93.3,4.99,305.8,56.28,82.0,38.06,50.9,23.8,1.0,2.875,0.0646,0.1337,2806.2
ESPJOB-0000097,1,SARB,Sandstone,Multi-Stage,ESP-538,1287.7,0.6016,248.8,603.4,3638.1,584.5,84.0,93.8,3.839,268.2,52.25,534.9,11.54,43.6,9.8,0.5,3.5,0.2826,0.2083,3034.7
ESPJOB-0000206,0,Fateh,Carbonate,Multi-Stage,ESP-400,3849.9,0.0865,101.9,683.4,3864.4,545.8,82.4,140.4,3.847,507.2,57.17,364.0,3.9,61.0,27.9,1.0,2.375,0.0635,0.1317,3181.0
ESPJOB-0000198,0,Bu Hasa,Carbonate,Multi-Stage,ESP-562,3416.4,0.8856,477.9,805.3,3537.0,600.3,83.7,159.9,4.386,434.1,55.62,277.6,16.3,59.4,11.6,1.0,2.875,0.3467,0.1271,2731.6
ESPJOB-0000817,0,Upper Zakum,Sandstone,Smart,ESP-400,1649.6,0.5193,1145.4,956.2,3263.4,403.6,57.8,114.2,2.396,236.7,58.68,88.6,15.08,3.7,18.1,0.5,4.5,0.159,0.1435,2307.2
ESPJOB-0000966,0,Bab,Carbonate,Single-Stage,ESP-675,2965.8,0.6194,153.8,678.6,2328.5,485.0,84.1,121.2,3.604,387.4,53.63,428.6,10.53,29.9,29.2,0.75,3.5,0.1294,0.1306,1649.9
ESPJOB-0000640,1,Bab,Carbonate,Single-Stage,ESP-562,3072.9,0.4655,437.7,715.0,4060.7,879.1,86.7,133.1,3.909,397.4,56.18,456.8,292.68,23.5,10.2,1.25,2.375,0.45,0.1293,3345.8
ESPJOB-0000110,1,Bu Hasa,Carbonate,Single-Stage,ESP-400,2151.9,0.1699,629.7,494.1,3253.1,607.9,79.3,126.7,4.325,268.1,55.9,262.7,36.06,5.8,8.9,1.25,2.875,0.397,0.1246,2759.0
ESPJOB-0000762,0,Lower Zakum,Carbonate,Single-Stage,ESP-538,3077.5,0.4902,146.9,872.3,3004.3,490.2,74.5,139.5,3.843,412.2,38.76,88.8,6.82,30.7,36.3,1.25,2.875,0.1327,0.1339,2132.0
