ScheduleID,RigID,RigType,Contractor,ServiceCompany,Concession,Emirate,WellName,WellType,WellProfile,SpudDate,ReleaseDatePlanned,ReleaseDateActual,DaysPlanned,DaysActual,MoveDaysPlanned,NPTDays,Status,CostPlannedUSD,CostActualUSD,BOPRatingPSI,HoleSizeInches,PlannedTD_m,ReachedTD_m,MudSystem,FromPad,ToPad,Latitude,Longitude
SCH-0005325,RIG-005,Land,Arabian Drilling,ADNOC Services,Upper Zakum,Abu Dhabi Offshore,UZ-2264,Dev,S-curve,2023-08-06,2023-08-28,2023-08-30,22,24,2.4,0.0,Released,1859200,2024500.0,10000,12.25,3604,3496,Water-Based Mud,PAD-163,PAD-312,24.70657,52.91783
SCH-0007382,RIG-050,Land,Nabors,Halliburton,Upper Zakum,Abu Dhabi Offshore,UZ-2564,Appraisal,Horizontal,2022-09-22,2022-10-11,2022-10-14,19,22,1.6,4.6,Released,1587000,1803800.0,10000,8.5,2408,2726,Water-Based Mud,PAD-305,PAD-018,24.40964,53.75488
SCH-0004527,RIG-057,Tender,Nabors,Weatherford,Fateh,Abu Dhabi Offshore,FTH-0065,Dev,S-curve,2023-06-30,2023-08-16,2023-08-16,47,47,2.9,0.0,Released,7844500,7804800.0,10000,6.0,2525,2892,Water-Based Mud,PAD-193,PAD-172,24.42868,53.38498
SCH-0005721,RIG-019,Jackup,Weatherford,ADNOC Services,Al Dabb’iya,Abu Dhabi,ALD-9321,Appraisal,Deviated,2023-04-25,2023-05-23,2023-05-24,28,29,2.9,1.0,Released,4435900,4984400.0,10000,8.5,3861,3673,Synthetic-Based Mud,PAD-156,PAD-068,24.69894,54.34333
SCH-0006051,RIG-032,Land,Weatherford,Halliburton,Bab,Abu Dhabi,BAB-5790,Exploration,Vertical,2022-10-13,2022-11-06,2022-11-10,24,28,2.1,5.5,Released,2530100,3129200.0,10000,8.5,2396,2250,Synthetic-Based Mud,PAD-320,PAD-240,24.24646,54.50022
SCH-0006219,RIG-059,Semi-Sub,Weatherford,Halliburton,Fateh,Abu Dhabi Offshore,FTH-2885,Exploration,Horizontal,2022-10-08,2022-11-10,2022-11-13,33,36,3.8,1.8,Released,7975000,8743000.0,5000,6.0,3062,3365,Water-Based Mud,PAD-134,PAD-304,24.59194,53.41873
SCH-0002251,RIG-034,Land,Weatherford,Weatherford,Bab,Abu Dhabi,BAB-7737,Sidetrack,Horizontal,2022-10-09,2022-10-23,2022-10-26,14,17,4.0,1.7,Released,1120000,1368500.0,15000,8.5,2013,2215,Water-Based Mud,PAD-304,PAD-349,23.90249,54.80491
SCH-0006003,RIG-009,Land,Nabors,Halliburton,SARB,Abu Dhabi Offshore,SARB-3156,Sidetrack,S-curve,2025-01-01,2025-01-19,2025-01-19,18,18,1.0,0.0,Released,1540500,1628900.0,10000,8.5,3092,3434,Water-Based Mud,PAD-350,PAD-206,24.73977,53.89541
SCH-0008822,RIG-033,Land,KCA Deutag,ADNOC Services,Al Dabb’iya,Abu Dhabi,ALD-4135,Workover,Horizontal,2022-02-03,2022-02-15,2022-02-18,12,15,3.8,3.3,Released,767200,777200.0,10000,8.5,3561,3785,Oil-Based Mud,PAD-263,PAD-199,24.26356,54.74082
SCH-0011959,RIG-002,Land,Nabors,Schlumberger,Al Dabb’iya,Abu Dhabi,ALD-3475,Sidetrack,Vertical,2024-02-07,2024-02-25,2024-02-25,18,18,3.7,0.0,Released,1255000,1332600.0,10000,8.5,3918,4177,Water-Based Mud,PAD-059,PAD-338,24.69883,54.81787
SCH-0005388,RIG-057,Land,Arabian Drilling,Halliburton,Upper Zakum,Abu Dhabi Offshore,UZ-8508,Dev,Vertical,2022-02-09,2022-03-02,2022-03-05,21,24,1.8,5.2,Released,1984000,2629200.0,10000,6.125,4246,4445,Synthetic-Based Mud,PAD-194,PAD-067,24.85166,53.74548
SCH-0003165,RIG-056,Land,KCA Deutag,Weatherford,Fateh,Abu Dhabi Offshore,FTH-8564,Exploration,S-curve,2023-06-05,2023-06-19,2023-06-22,14,17,3.0,2.3,Released,1625600,1959700.0,10000,17.5,1798,1943,Water-Based Mud,PAD-213,PAD-034,24.98708,53.56146
SCH-0008101,RIG-028,Land,ADNOC Drilling,Weatherford,Al Dabb’iya,Abu Dhabi,ALD-2743,Sidetrack,Horizontal,2022-02-22,2022-03-11,2022-03-12,17,18,2.8,1.3,Released,1203800,1426800.0,10000,8.5,4438,4676,Water-Based Mud,PAD-006,PAD-004,23.34866,54.18411
SCH-0010027,RIG-011,Tender,Weatherford,Halliburton,SARB,Abu Dhabi Offshore,SARB-4894,Sidetrack,Horizontal,2022-11-28,2022-12-22,2022-12-30,24,32,4.2,2.7,Released,4710200,6156100.0,10000,6.0,2371,2591,Water-Based Mud,PAD-306,PAD-028,24.37451,53.68841
SCH-0002752,RIG-035,Jackup,Nabors,Halliburton,Fateh,Abu Dhabi Offshore,FTH-2592,Appraisal,S-curve,2024-07-07,2024-08-07,2024-08-09,31,33,0.6,2.9,Released,5677000,5834300.0,10000,6.0,3196,3587,Water-Based Mud,PAD-222,PAD-344,24.87371,53.65182
SCH-0010698,RIG-043,Land,Arabian Drilling,Baker Hughes,Bu Hasa,Abu Dhabi,BUH-1834,Workover,S-curve,2023-04-26,2023-05-01,2023-05-03,5,7,2.0,3.4,Released,320200,489900.0,5000,8.5,2126,2092,Synthetic-Based Mud,PAD-096,PAD-049,23.99213,54.6475
SCH-0000319,RIG-003,Land,KCA Deutag,Halliburton,Fateh,Abu Dhabi Offshore,FTH-3600,Appraisal,Vertical,2023-06-11,2023-07-11,2023-07-12,30,31,3.8,1.2,Released,2995200,3217900.0,15000,8.5,3374,3430,Water-Based Mud,PAD-330,PAD-350,24.46234,53.3799
SCH-0009590,RIG-004,Land,Nabors,Weatherford,Bab,Abu Dhabi,BAB-3992,Sidetrack,Horizontal,2022-09-05,2022-09-15,2022-09-18,10,13,3.0,1.6,Released,753900,928200.0,10000,6.125,3469,3737,Oil-Based Mud,PAD-140,PAD-199,24.2035,54.54007
SCH-0010573,RIG-016,Land,Shelf Drilling,Baker Hughes,Bu Hasa,Abu Dhabi,BUH-1735,Sidetrack,Deviated,2022-07-02,2022-07-07,2022-07-07,5,5,3.4,0.0,Released,507300,619500.0,10000,17.5,4393,4531,Water-Based Mud,PAD-072,PAD-279,24.36388,54.06176
SCH-0004427,RIG-059,Land,KCA Deutag,Weatherford,Al Dabb’iya,Abu Dhabi,ALD-0293,Dev,Vertical,2025-05-23,2025-06-04,2025-06-05,12,13,3.4,2.0,Released,1241000,1242200.0,15000,8.5,2340,2211,Water-Based Mud,PAD-047,PAD-274,24.64656,54.88117
SCH-0003559,RIG-052,Jackup,KCA Deutag,Schlumberger,Bu Hasa,Abu Dhabi,BUH-9108,Appraisal,Deviated,2025-01-16,2025-02-06,2025-02-06,21,21,4.3,0.0,Released,3518800,3834300.0,5000,17.5,3000,3224,Oil-Based Mud,PAD-021,PAD-018,23.92235,54.11711
SCH-0001441,RIG-033,Jackup,KCA Deutag,Weatherford,Fateh,Abu Dhabi Offshore,FTH-7744,Exploration,Deviated,2024-11-28,2025-01-17,2025-01-18,50,51,5.1,1.2,Released,9522300,9769300.0,10000,6.0,3325,3509,Water-Based Mud,PAD-100,PAD-031,24.87903,53.59036
SCH-0011261,RIG-023,Land,Shelf Drilling,Weatherford,Upper Zakum,Abu Dhabi Offshore,UZ-9610,Exploration,Vertical,2022-12-25,2023-01-17,2023-01-17,23,23,4.6,0.0,Released,2574200,2764200.0,10000,8.5,2623,2630,Water-Based Mud,PAD-264,PAD-141,24.91647,53.35404
SCH-0010069,RIG-032,Land,Weatherford,Weatherford,Bab,Abu Dhabi,BAB-1034,Workover,Deviated,2023-06-26,2023-07-03,2023-07-03,7,7,2.0,0.0,Released,446100,432600.0,10000,17.5,4084,4189,Oil-Based Mud,PAD-077,PAD-119,23.89554,55.0885
SCH-0005211,RIG-031,Semi-Sub,Arabian Drilling,Weatherford,Lower Zakum,Abu Dhabi Offshore,LZ-3282,Exploration,Vertical,2023-10-26,2023-12-07,2023-12-09,42,44,3.9,2.7,Released,11481400,12537000.0,10000,17.5,4006,3979,Water-Based Mud,PAD-172,PAD-114,24.65046,54.06933
SCH-0006810,RIG-021,Land,ADNOC Drilling,ADNOC Services,SARB,Abu Dhabi Offshore,SARB-4508,Appraisal,Horizontal,2023-03-13,2023-04-05,2023-04-06,23,24,0.5,1.4,Released,2265100,2219300.0,5000,12.25,3455,3385,Water-Based Mud,PAD-053,PAD-040,24.67431,53.79749
SCH-0010094,RIG-043,Land,Weatherford,Halliburton,Bu Hasa,Abu Dhabi,BUH-3804,Sidetrack,Horizontal,2025-01-31,2025-02-13,2025-02-14,13,14,5.4,0.7,Released,1055800,1227700.0,10000,12.25,2964,3237,Water-Based Mud,PAD-148,PAD-086,23.41904,55.26351
SCH-0003730,RIG-046,Jackup,Weatherford,ADNOC Services,Upper Zakum,Abu Dhabi Offshore,UZ-0603,Appraisal,S-curve,2024-10-23,2024-12-04,2024-12-04,42,42,2.2,0.0,Released,7674800,8286800.0,15000,6.0,3189,3359,Synthetic-Based Mud,PAD-156,PAD-004,24.34738,52.98478
SCH-0010396,RIG-009,Land,Shelf Drilling,ADNOC Services,Bab,Abu Dhabi,BAB-5175,Dev,Horizontal,2023-06-03,2023-06-09,2023-06-11,6,8,4.6,3.9,Released,823300,1245900.0,10000,8.5,3167,3303,Water-Based Mud,PAD-141,PAD-281,23.70885,53.89841
SCH-0009343,RIG-041,Semi-Sub,Arabian Drilling,Halliburton,Bu Hasa,Abu Dhabi,BUH-5853,Sidetrack,Horizontal,2022-10-03,2022-11-08,2022-11-10,36,38,0.8,,Released,4576600,4850700.0,5000,8.5,2788,,Water-Based Mud,PAD-300,PAD-037,23.62237,53.78447
SCH-0008302,RIG-044,Land,Nabors,Schlumberger,Bab,Abu Dhabi,BAB-8766,Exploration,Deviated,2023-02-17,2023-03-17,2023-03-20,28,31,3.4,5.4,Released,2950800,3545000.0,15000,8.5,1612,1515,Oil-Based Mud,PAD-204,PAD-167,24.58288,54.51745
SCH-0002841,RIG-037,Land,Shelf Drilling,Halliburton,Lower Zakum,Abu Dhabi Offshore,LZ-7071,Workover,Deviated,2023-01-09,2023-01-16,2023-01-18,7,9,3.5,2.1,Released,511700,634300.0,10000,8.5,3596,3937,Synthetic-Based Mud,PAD-025,PAD-279,24.82377,54.06796
SCH-0002126,RIG-047,Land,Nabors,ADNOC Services,Al Dabb’iya,Abu Dhabi,ALD-7409,Dev,Horizontal,2025-01-03,2025-01-14,2025-01-14,11,11,3.8,0.0,Released,1007800,1071200.0,10000,8.5,3340,3512,Water-Based Mud,PAD-232,PAD-283,23.61679,54.07129
SCH-0000802,RIG-014,Jackup,Shelf Drilling,Weatherford,Bu Hasa,Abu Dhabi,BUH-5970,Sidetrack,Vertical,2022-07-04,2022-08-05,2022-08-06,32,33,2.9,1.2,Released,3308800,3732000.0,10000,6.0,2812,2935,Oil-Based Mud,PAD-069,PAD-226,24.09379,53.96266
SCH-0000147,RIG-050,Land,KCA Deutag,Baker Hughes,Bab,Abu Dhabi,BAB-2312,Dev,S-curve,2022-03-02,2022-03-19,2022-03-20,17,18,1.7,0.0,Released,1513300,1714200.0,10000,12.25,3627,3526,Water-Based Mud,PAD-061,PAD-174,23.50585,54.23718
SCH-0003636,RIG-014,Jackup,Nabors,Schlumberger,Al Dabb’iya,Abu Dhabi,ALD-2120,Dev,Vertical,2025-05-29,2025-06-24,2025-06-24,26,26,3.1,0.0,Released,3898000,3963700.0,10000,17.5,1870,1698,Water-Based Mud,PAD-210,PAD-013,24.5991,54.59262
SCH-0005555,RIG-022,Jackup,ADNOC Drilling,Halliburton,Lower Zakum,Abu Dhabi Offshore,LZ-6319,Workover,Deviated,2022-07-28,2022-08-15,2022-08-15,18,18,2.6,0.0,Released,1292700,1357400.0,10000,12.25,2050,2129,Water-Based Mud,PAD-321,PAD-004,24.64733,53.93233
SCH-0005783,RIG-054,Jackup,Nabors,Schlumberger,Lower Zakum,Abu Dhabi Offshore,LZ-0347,Sidetrack,Deviated,2025-02-20,2025-03-11,2025-03-12,19,20,2.1,0.8,Released,2139300,2231500.0,15000,8.5,1945,1757,Oil-Based Mud,PAD-055,PAD-265,24.77076,53.50238
SCH-0005442,RIG-055,Jackup,Nabors,Baker Hughes,SARB,Abu Dhabi Offshore,SARB-4224,Workover,Vertical,2024-01-22,2024-02-06,2024-02-10,15,19,0.5,3.1,Released,1445600,1808000.0,15000,8.5,3834,4167,Synthetic-Based Mud,PAD-073,PAD-262,24.65395,53.73469
SCH-0010875,RIG-019,Land,ADNOC Drilling,Schlumberger,Upper Zakum,Abu Dhabi Offshore,UZ-1239,Workover,S-curve,2022-04-17,2022-04-25,2022-04-26,8,9,3.8,1.9,Released,431800,486100.0,10000,8.5,3557,3411,Water-Based Mud,PAD-350,PAD-241,24.34238,53.93283
SCH-0007381,RIG-004,Land,Shelf Drilling,Weatherford,Lower Zakum,Abu Dhabi Offshore,LZ-1156,Appraisal,Horizontal,2025-08-09,2025-08-26,2025-08-27,17,18,2.6,1.5,Released,2015100,2173300.0,10000,6.0,3388,3486,Synthetic-Based Mud,PAD-141,PAD-064,24.39059,53.79493
SCH-0001771,RIG-058,Land,Nabors,Halliburton,Al Dabb’iya,Abu Dhabi,ALD-8189,Workover,Vertical,2024-11-11,2024-11-21,2024-11-23,10,12,5.9,3.4,Released,921900,1050600.0,5000,6.125,2899,3202,Oil-Based Mud,PAD-184,PAD-069,23.34167,54.94191
SCH-0000925,RIG-025,Tender,Weatherford,Baker Hughes,Al Dabb’iya,Abu Dhabi,ALD-0332,Dev,Horizontal,2024-03-10,2024-04-26,2024-04-28,47,49,3.2,1.8,Released,8780000,9566300.0,5000,12.25,2852,2830,Water-Based Mud,PAD-342,PAD-339,23.83937,54.2527
SCH-0003095,RIG-021,Land,Shelf Drilling,ADNOC Services,Al Dabb’iya,Abu Dhabi,ALD-5807,Appraisal,Deviated,2023-02-17,2023-03-11,2023-03-13,22,24,2.6,2.7,Released,1728400,1898500.0,10000,17.5,2404,2375,Synthetic-Based Mud,PAD-229,PAD-091,24.42396,54.0429
SCH-0009362,RIG-001,Land,Shelf Drilling,Halliburton,Lower Zakum,Abu Dhabi Offshore,LZ-5837,Dev,Horizontal,2024-12-31,2025-01-21,2025-01-21,21,21,3.6,0.0,Released,2245600,2305100.0,5000,12.25,4077,3953,Water-Based Mud,PAD-081,PAD-161,24.55409,53.13918
SCH-0007886,RIG-002,Land,Shelf Drilling,Weatherford,Upper Zakum,Abu Dhabi Offshore,UZ-0467,Workover,Deviated,2025-05-08,2025-05-18,2025-05-18,10,10,2.9,0.0,Released,682100,767300.0,15000,12.25,2670,2540,Water-Based Mud,PAD-189,PAD-324,24.40358,54.01758
SCH-0006529,RIG-013,Semi-Sub,ADNOC Drilling,ADNOC Services,Al Dabb’iya,Abu Dhabi,ALD-7763,Exploration,S-curve,2024-07-17,2024-09-02,2024-09-04,47,49,3.5,2.8,Released,12146100,13729000.0,15000,6.125,3393,3721,Synthetic-Based Mud,PAD-152,PAD-177,23.5082,55.11665
SCH-0004158,RIG-024,Land,ADNOC Drilling,ADNOC Services,Fateh,Abu Dhabi Offshore,FTH-3005,Dev,Horizontal,2024-09-13,2024-10-01,2024-10-01,18,18,3.2,0.0,Released,1995000,1953200.0,10000,8.5,3167,3273,Synthetic-Based Mud,PAD-319,PAD-044,24.60538,53.8357
SCH-0007894,RIG-015,Jackup,Nabors,Schlumberger,Bab,Abu Dhabi,BAB-3448,Appraisal,Horizontal,2023-06-01,2023-07-02,2023-07-04,31,33,4.0,3.8,Released,4965100,5454600.0,5000,8.5,3915,4113,Synthetic-Based Mud,PAD-344,PAD-114,23.7728,54.88719
SCH-0009145,RIG-014,Jackup,Shelf Drilling,ADNOC Services,Fateh,Abu Dhabi Offshore,FTH-8005,Sidetrack,S-curve,2023-10-25,2023-11-18,2023-11-22,24,28,3.0,2.2,Released,2659000,3248200.0,10000,8.5,2577,2388,Synthetic-Based Mud,PAD-260,PAD-257,24.78465,53.1086
SCH-0010925,RIG-009,Jackup,Shelf Drilling,Halliburton,Bab,Abu Dhabi,BAB-6941,Sidetrack,S-curve,2024-12-18,2025-01-17,2025-01-17,30,30,1.8,0.0,Released,3301500,3420100.0,10000,8.5,3234,3371,Water-Based Mud,PAD-075,PAD-298,24.06307,55.2571
SCH-0008514,RIG-033,Land,Shelf Drilling,Schlumberger,Al Dabb’iya,Abu Dhabi,ALD-3832,Appraisal,Deviated,2022-06-30,2022-07-14,2022-07-14,14,14,4.4,0.0,Released,1181700,1269100.0,10000,12.25,2510,2907,Water-Based Mud,PAD-141,PAD-113,23.93245,53.70058
SCH-0009997,RIG-014,Land,Shelf Drilling,Weatherford,Bu Hasa,Abu Dhabi,BUH-4450,Dev,Vertical,2022-01-08,2022-01-25,2022-01-30,17,22,2.7,2.9,Released,1453100,1944100.0,10000,12.25,3481,3483,Oil-Based Mud,PAD-088,PAD-086,23.61615,55.02968
SCH-0011984,RIG-022,Land,KCA Deutag,Halliburton,Fateh,Abu Dhabi Offshore,FTH-6989,Sidetrack,S-curve,2022-01-21,2022-02-01,2022-02-01,11,11,1.3,0.0,Released,794600,791200.0,5000,6.0,3861,3756,Water-Based Mud,PAD-018,PAD-143,24.38134,53.80963
SCH-0000867,RIG-049,Land,Nabors,Halliburton,Bab,Abu Dhabi,BAB-7308,Workover,Horizontal,2022-12-18,2022-12-28,2022-12-31,10,13,4.0,4.6,Released,657800,874200.0,10000,17.5,3388,3202,Synthetic-Based Mud,PAD-310,PAD-080,23.81675,55.07235
SCH-0008441,RIG-039,Land,Weatherford,Baker Hughes,SARB,Abu Dhabi Offshore,SARB-1488,Workover,Deviated,2023-01-12,2023-01-18,2023-01-19,6,7,4.1,0.2,Released,448100,548100.0,5000,12.25,2677,2950,Oil-Based Mud,PAD-348,PAD-144,24.76699,53.34751
SCH-0003975,RIG-042,Land,Shelf Drilling,Halliburton,Al Dabb’iya,Abu Dhabi,ALD-2432,Dev,Vertical,2022-08-26,2022-09-05,2022-09-09,10,14,3.4,4.1,Released,1066400,1592900.0,10000,8.5,1688,1872,Oil-Based Mud,PAD-065,PAD-169,24.20853,54.89922
SCH-0010311,RIG-013,Land,Nabors,Halliburton,SARB,Abu Dhabi Offshore,SARB-8309,Sidetrack,Deviated,2025-07-30,2025-08-18,2025-08-22,19,23,4.0,7.2,Released,1361900,1651100.0,10000,12.25,3050,2896,Water-Based Mud,PAD-332,PAD-246,24.47503,54.05948
SCH-0005943,RIG-033,Land,Arabian Drilling,Weatherford,Fateh,Abu Dhabi Offshore,FTH-1894,Dev,S-curve,2022-11-26,2022-12-14,2022-12-15,18,19,4.4,0.0,Released,1908400,1905800.0,10000,17.5,2327,2184,Synthetic-Based Mud,PAD-334,PAD-138,25.05468,53.00364
SCH-0006935,RIG-020,Jackup,KCA Deutag,Schlumberger,Upper Zakum,Abu Dhabi Offshore,UZ-8338,Appraisal,Deviated,2025-08-07,2025-09-19,2025-09-21,43,45,3.4,4.0,Ongoing,7680200,8608800.0,15000,8.5,2895,3178,Water-Based Mud,PAD-012,PAD-053,24.48296,53.55889
SCH-0006584,RIG-025,Land,KCA Deutag,Baker Hughes,Lower Zakum,Abu Dhabi Offshore,LZ-5164,Sidetrack,S-curve,2023-05-07,2023-05-23,2023-05-24,16,17,2.9,0.9,Released,1169500,1281600.0,15000,17.5,2512,2316,Water-Based Mud,PAD-109,PAD-011,24.46162,53.64329
SCH-0011427,RIG-038,Jackup,Nabors,Baker Hughes,Al Dabb’iya,Abu Dhabi,ALD-9885,Appraisal,Deviated,2024-08-17,2024-09-21,2024-09-22,35,36,2.0,1.6,Released,4529300,4861100.0,10000,8.5,3476,3338,Water-Based Mud,PAD-076,PAD-221,24.07447,53.92407
SCH-0011595,RIG-023,Land,Nabors,Halliburton,Fateh,Abu Dhabi Offshore,FTH-6338,Dev,S-curve,2023-12-22,2024-01-13,2024-01-13,22,22,4.2,0.0,Released,1702200,1764800.0,15000,8.5,1865,2172,Oil-Based Mud,PAD-281,PAD-098,24.52036,52.9214
SCH-0006560,RIG-040,Land,Shelf Drilling,Weatherford,Bab,Abu Dhabi,BAB-0494,Dev,Vertical,2023-10-29,2023-11-16,2023-11-21,18,23,0.8,1.2,Released,1649800,2273000.0,10000,8.5,1647,1884,Synthetic-Based Mud,PAD-099,PAD-148,23.68899,54.60834
SCH-0001724,RIG-032,Land,KCA Deutag,Halliburton,Lower Zakum,Abu Dhabi Offshore,LZ-9688,Exploration,Deviated,2025-05-12,2025-05-29,2025-05-31,17,19,2.6,4.0,Released,2083900,2472900.0,10000,6.125,1615,1752,Water-Based Mud,PAD-254,PAD-191,24.8436,53.49842
SCH-0010823,RIG-036,Land,Arabian Drilling,Schlumberger,Bab,Abu Dhabi,BAB-8261,Sidetrack,Horizontal,2022-11-25,2022-11-30,2022-11-30,5,5,3.7,0.0,Released,486400,519600.0,5000,8.5,3211,3576,Water-Based Mud,PAD-092,PAD-102,24.20754,53.91042
SCH-0010327,RIG-043,Land,Nabors,Weatherford,Lower Zakum,Abu Dhabi Offshore,LZ-6509,Sidetrack,Horizontal,2024-09-08,2024-09-28,2024-09-29,20,21,2.3,0.7,Released,1261600,1416000.0,5000,8.5,2205,2317,Oil-Based Mud,PAD-237,PAD-213,24.72103,53.61573
SCH-0000250,RIG-059,Semi-Sub,Weatherford,Weatherford,Fateh,Abu Dhabi Offshore,FTH-3858,Exploration,S-curve,2025-05-27,2025-07-01,2025-07-02,35,36,5.2,0.7,Released,9892500,10582300.0,10000,6.125,2339,2729,Synthetic-Based Mud,PAD-230,PAD-328,24.94669,53.9989
SCH-0008820,RIG-049,Land,ADNOC Drilling,Weatherford,Bu Hasa,Abu Dhabi,BUH-3997,Workover,Horizontal,2024-09-25,2024-10-08,2024-10-10,13,15,1.9,2.4,Released,766300,992500.0,5000,12.25,2883,2800,Water-Based Mud,PAD-242,PAD-049,24.06555,55.22011
SCH-0011602,RIG-011,Land,Weatherford,Halliburton,Fateh,Abu Dhabi Offshore,FTH-9134,Sidetrack,S-curve,2024-12-25,2025-01-12,2025-01-17,18,23,2.7,4.6,Released,1494900,2073700.0,10000,8.5,2449,2348,Water-Based Mud,PAD-308,PAD-309,24.51292,53.95095
SCH-0005624,RIG-036,Land,Weatherford,Baker Hughes,Upper Zakum,Abu Dhabi Offshore,UZ-9592,Exploration,Horizontal,2025-03-05,2025-03-27,2025-03-29,22,24,3.7,2.9,Released,2123700,2724300.0,10000,8.5,2853,3190,Water-Based Mud,PAD-124,PAD-067,24.65505,53.29457
SCH-0005734,RIG-047,Jackup,ADNOC Drilling,Weatherford,Lower Zakum,Abu Dhabi Offshore,LZ-3726,Sidetrack,Deviated,2024-05-21,2024-06-15,2024-06-16,25,26,4.3,2.0,Released,2757200,3065100.0,10000,6.125,3309,3160,Water-Based Mud,PAD-046,PAD-348,24.37998,53.93039
SCH-0006989,RIG-042,Jackup,Shelf Drilling,Schlumberger,Upper Zakum,Abu Dhabi Offshore,UZ-9953,Sidetrack,Deviated,2024-06-09,2024-07-03,2024-07-06,24,27,3.7,3.7,Released,2846200,2873600.0,10000,8.5,2280,2365,Water-Based Mud,PAD-192,PAD-192,25.00257,53.85136
SCH-0011968,RIG-034,Land,Arabian Drilling,Baker Hughes,SARB,Abu Dhabi Offshore,SARB-4410,Dev,S-curve,2022-07-24,2022-08-11,2022-08-14,18,21,3.6,4.1,Released,1518200,1760300.0,10000,8.5,2441,2829,Synthetic-Based Mud,PAD-053,PAD-282,24.31686,53.81675
SCH-0002698,RIG-022,Drillship,KCA Deutag,Schlumberger,SARB,Abu Dhabi Offshore,SARB-2725,Workover,Deviated,2024-04-14,2024-04-26,2024-04-27,12,13,4.1,0.9,Released,2194200,2671800.0,10000,17.5,2477,2506,Synthetic-Based Mud,PAD-076,PAD-209,25.09445,53.83843
