JobID,Failure_90d,Field,FormationType,CompletionType,ESP_Model,OilRate_bpd,WaterCut_frac,GasOilRatio_scf_bbl,IntakePressure_psia,DischargePressure_psia,THP_psia,WellheadTemp_C,MotorTemp_C,Vibration_RMS,Power_kW,DriveFrequency_Hz,RunTimeSincePull_days,SandRate_mgL,ScaleInhibitor_ppm,CorrosionInhibitor_ppm,ChokeSize_in,TubingID_in,Fail_Prob_Internal,kW_per_bbl,DP_Margin_psia
ESPJOB-0019192,0,Bu Hasa,Sandstone,Single-Stage,ESP-400,1288.2,0.2329,505.9,780.9,3050.8,563.1,66.6,97.3,3.436,192.3,53.45,378.1,13.11,47.6,28.9,0.75,2.375,0.175,0.1493,2269.8
ESPJOB-0010329,1,Bu Hasa,Carbonate,Smart,ESP-562,3061.1,0.462,188.4,1040.4,2992.5,738.5,83.5,141.0,6.436,389.2,53.74,4.7,10.51,38.1,10.2,1.0,2.375,0.0811,0.1271,1952.1
ESPJOB-0017587,0,Bab,Sandstone,Single-Stage,ESP-538,3256.4,0.3192,293.4,980.5,3151.7,637.6,59.8,122.9,5.527,465.7,54.89,83.8,21.44,16.3,9.4,1.25,2.875,0.1798,0.143,2171.2
ESPJOB-0011517,0,SARB,Sandstone,Single-Stage,ESP-538,3572.9,0.1353,147.6,749.7,3489.2,673.1,74.6,143.7,6.652,473.3,56.2,140.2,6.21,86.2,37.1,1.25,3.5,0.0994,0.1325,2739.4
ESPJOB-0002719,0,Bab,Carbonate,Multi-Stage,ESP-562,3926.9,0.486,259.3,508.2,2960.4,405.8,74.3,169.5,6.344,520.6,54.77,131.7,39.07,11.2,27.8,1.25,3.5,0.3146,0.1326,2452.1
ESPJOB-0011124,0,SARB,Sandstone,Single-Stage,ESP-400,1655.5,0.2463,1134.0,968.6,3013.1,633.1,69.2,96.7,6.417,232.3,50.5,449.0,27.65,20.3,20.1,1.5,2.875,0.319,0.1403,2044.6
ESPJOB-0002594,0,Bab,Carbonate,Multi-Stage,ESP-400,3038.8,0.166,196.0,1049.2,3208.9,546.1,75.7,111.8,3.112,374.9,53.84,229.6,67.87,13.0,23.6,1.25,2.375,0.128,0.1234,2159.7
ESPJOB-0015024,0,SARB,Sandstone,Single-Stage,ESP-562,875.5,0.2643,372.7,839.0,3307.2,448.1,55.0,90.2,1.575,166.1,49.18,201.2,7.11,20.1,37.4,1.25,4.5,0.049,0.1897,2468.2
ESPJOB-0004957,0,Upper Zakum,Carbonate,Multi-Stage,ESP-400,4061.7,0.5544,341.2,724.6,3437.2,585.6,66.5,146.9,5.905,514.2,50.73,154.7,15.69,11.5,23.2,0.75,2.375,0.2662,0.1266,2712.6
ESPJOB-0006745,1,Lower Zakum,Sandstone,Multi-Stage,ESP-400,2770.5,0.0214,269.2,640.2,3373.0,561.3,90.5,98.1,3.889,365.7,68.57,327.2,25.39,28.4,22.8,0.75,2.875,0.0927,0.132,2732.8
ESPJOB-0013458,0,Fateh,Sandstone,Single-Stage,ESP-400,2009.8,0.6338,212.4,869.7,3891.0,955.4,74.6,109.0,2.911,328.7,48.08,291.2,24.75,28.4,20.1,1.0,2.875,0.353,0.1635,3021.4
ESPJOB-0016077,0,SARB,Carbonate,Single-Stage,ESP-400,3573.5,0.2347,178.7,1042.7,3682.3,648.4,79.3,125.4,8.130053627559557,505.6,56.44,229.6,58.7,12.2,30.3,0.5,2.875,0.1658,0.1415,2639.6
ESPJOB-0011310,0,Bab,Sandstone,Multi-Stage,ESP-538,1548.7,0.6819,344.1,780.0,2823.6,630.8,71.9,111.0,4.732,200.7,59.27,184.7,26.37,64.8,18.0,1.5,3.5,0.2872,0.1296,2043.6
ESPJOB-0017387,0,Upper Zakum,Sandstone,Single-Stage,ESP-562,4515.5,0.4229,223.6,546.8,2977.5,553.2,90.7,160.5,5.013,508.1,70.0,476.8,7.55,5.8,18.0,0.5,2.875,0.2725,0.1125,2430.8
ESPJOB-0008261,1,Bab,Carbonate,Single-Stage,ESP-400,2832.2,0.6383,790.9,1027.9,3552.6,879.5,69.0,124.8,5.096,371.5,59.3,238.9,10.87,36.6,2.7,0.5,3.5,0.3202,0.1312,2524.7
ESPJOB-0009679,1,Upper Zakum,Shale,Single-Stage,ESP-400,2238.0,0.8133,320.4,621.1,3419.2,538.0,57.2,136.9,5.812,247.2,60.69,126.0,45.12,27.8,14.2,1.0,3.5,0.4028,0.1105,2798.1
ESPJOB-0018376,0,Fateh,Sandstone,Multi-Stage,ESP-538,3695.0,0.6009,351.6,747.5,2372.8,370.5,67.6,140.1,4.961,521.9,64.38,202.2,5.98,77.7,6.1,1.0,2.875,0.224,0.1412,1625.3
ESPJOB-0002433,0,SARB,Carbonate,Smart,ESP-400,1649.7,0.236,116.9,1081.1,4213.6,670.5,72.1,79.6,3.35,338.0,60.96,351.6,72.65,11.1,34.7,0.5,2.875,0.0758,0.2049,3132.5
ESPJOB-0018986,0,Bu Hasa,Sandstone,Single-Stage,ESP-562,3173.1,0.1507,490.2,582.6,2550.8,463.9,63.6,124.9,3.856,446.1,64.49,203.1,14.0,46.1,58.4,1.5,3.5,0.1215,0.1406,1968.2
ESPJOB-0006263,1,Bu Hasa,Carbonate,Multi-Stage,ESP-538,2387.7,0.5321,364.7,1308.2,3849.0,782.2,72.7,113.5,4.58,314.2,64.62,80.3,46.69,12.3,48.5,1.25,4.5,0.1771,0.1316,2540.8
ESPJOB-0005631,0,Upper Zakum,Sandstone,Multi-Stage,ESP-538,1203.6,0.165,149.2,834.8,3259.7,404.0,51.1,83.6,4.601,239.5,46.56,483.8,27.65,33.4,22.2,0.75,4.5,0.0797,0.199,2424.9
ESPJOB-0002805,0,SARB,Carbonate,Multi-Stage,ESP-538,2499.2,0.455,268.8,550.9,2515.1,504.3,64.8,134.1,3.397,304.9,47.25,138.8,17.84,27.9,22.3,1.0,2.875,0.237,0.122,1964.2
ESPJOB-0004414,0,Bu Hasa,Carbonate,Single-Stage,ESP-400,2415.0,0.5699,110.4,1014.6,3163.5,481.6,76.9,125.6,3.702,307.1,56.84,366.1,4.19,31.5,33.3,1.0,4.5,0.0768,0.1272,2148.9
ESPJOB-0016605,0,Bab,Sandstone,Single-Stage,ESP-400,3136.1,0.3378,330.4,553.3,3570.0,764.7,86.6,125.5,3.877,470.6,60.08,262.6,53.4,28.2,32.8,0.75,4.5,0.2858,0.1501,3016.7
ESPJOB-0003023,0,Bab,Shale,Single-Stage,ESP-400,2830.1,0.5642,142.9,767.0,2823.5,353.0,67.7,134.8,3.947,390.0,56.96,122.9,23.79,33.5,4.4,1.0,4.5,0.1627,0.1378,2056.4
ESPJOB-0018050,0,Bab,Carbonate,Multi-Stage,ESP-562,2127.1,0.2389,739.2,806.8,3343.3,591.6,75.3,107.9,2.789,284.2,45.47,169.7,37.36,40.5,27.7,1.0,3.5,0.1465,0.1336,2536.5
ESPJOB-0009371,0,SARB,Carbonate,Multi-Stage,ESP-538,2317.4,,736.2,747.6,2137.7,439.8,86.8,119.0,4.784,301.8,55.21,269.9,30.96,11.9,3.2,1.25,2.375,0.2869,0.1302,1390.1
ESPJOB-0008158,0,Bu Hasa,Carbonate,Single-Stage,ESP-400,2016.9,0.3327,297.8,555.6,2848.0,568.1,64.1,107.6,3.619,231.5,54.81,342.5,17.59,31.8,22.1,1.0,2.875,0.157,0.1148,2292.4
ESPJOB-0011180,0,Upper Zakum,Carbonate,Multi-Stage,ESP-538,2822.4,0.3364,375.7,950.7,4001.0,648.4,84.4,119.3,2.586,418.4,48.75,346.4,25.5,41.5,53.4,1.0,2.875,0.1468,0.1483,3050.3
ESPJOB-0015050,0,Bu Hasa,Carbonate,Single-Stage,ESP-562,1538.7,0.6391,255.6,885.1,3475.9,676.3,70.4,107.5,2.019,266.5,38.88,280.9,28.03,37.7,14.0,1.0,4.5,0.0791,0.1732,2590.8
ESPJOB-0010436,0,Fateh,Shale,Single-Stage,ESP-538,3812.5,0.3335,405.8,584.5,3609.7,722.1,73.8,141.0,3.57,527.3,55.07,338.2,11.66,49.5,26.7,1.0,2.375,0.2929,0.1383,3025.2
ESPJOB-0015580,1,Bab,Shale,Single-Stage,ESP-538,2397.5,0.4469,415.2,756.0,3096.2,451.9,69.3,117.5,5.245,357.5,56.48,278.1,10.27,55.5,10.9,0.5,2.875,0.2235,0.1491,2340.2
ESPJOB-0009605,0,Lower Zakum,Carbonate,Single-Stage,ESP-538,2898.0,0.4291,131.0,1029.7,3764.3,540.6,71.0,125.9,4.933,433.6,37.75,181.6,10.77,39.8,32.7,0.75,2.375,0.1411,0.1496,2734.6
ESPJOB-0005961,1,Bab,Shale,Multi-Stage,ESP-562,2330.2,0.6071,142.1,650.9,3327.8,704.6,62.5,127.7,4.234,310.9,57.95,284.2,3.1,4.4,19.9,0.75,2.375,0.3586,0.1334,2676.9
ESPJOB-0016102,1,Bab,Shale,Single-Stage,ESP-675,1333.8,0.4928,710.4,503.3,3839.6,676.8,71.9,91.7,4.457,296.8,46.33,436.0,18.85,72.1,6.6,1.25,2.875,0.3489,0.2225,3336.3
ESPJOB-0005165,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,1350.9,0.1233,864.6,529.3,2630.6,516.2,63.7,89.0,3.962,202.1,52.15,24.8,27.6,17.8,32.0,0.75,4.5,0.0881,0.1496,2101.2
ESPJOB-0008103,1,SARB,Sandstone,Multi-Stage,ESP-538,3631.1,0.3439,638.2,750.1,2783.3,486.5,70.2,150.2,5.889,445.3,50.29,274.3,8.57,12.6,18.6,0.75,2.875,0.301,0.1226,2033.2
ESPJOB-0005934,0,Lower Zakum,Carbonate,Single-Stage,ESP-400,971.6,0.6012,430.5,1094.2,3480.9,428.7,62.2,85.5,4.718,142.6,59.0,387.1,19.27,29.0,22.1,0.5,2.875,0.1323,0.1468,2386.8
ESPJOB-0016407,1,Upper Zakum,Carbonate,Single-Stage,ESP-562,3936.3,0.0455,514.2,760.3,3356.2,568.9,76.9,138.5,5.147,474.5,53.9,418.6,8.96,21.8,17.9,1.0,2.875,0.174,0.1206,2596.0
ESPJOB-0014096,0,Lower Zakum,Shale,Single-Stage,ESP-538,2576.1,0.0,297.5,799.6,3187.5,758.3,67.3,102.4,4.292,290.7,48.11,128.8,14.17,26.4,38.5,1.0,2.375,0.0706,0.1128,2388.0
ESPJOB-0009653,1,Upper Zakum,Carbonate,Single-Stage,ESP-400,2589.6,0.5477,567.0,1043.8,3085.1,505.3,85.0,131.4,4.592,331.6,67.93,52.4,1.32,53.9,10.7,0.5,3.5,0.1185,0.128,2041.2
ESPJOB-0004780,0,Lower Zakum,Carbonate,Single-Stage,ESP-400,2222.2,0.243,99.4,744.3,3552.7,487.3,81.3,110.8,4.065,344.3,47.36,269.0,15.77,16.9,28.0,1.0,2.875,0.1792,0.1549,2808.3
ESPJOB-0008760,0,Lower Zakum,Carbonate,Single-Stage,ESP-675,1348.7,0.3929,281.6,679.9,2221.9,543.7,73.7,97.4,3.314,226.9,58.6,234.7,20.91,22.9,18.4,1.0,2.375,0.1354,0.1682,1542.0
ESPJOB-0010044,0,Bab,Carbonate,Single-Stage,ESP-538,1799.3,0.4686,197.8,818.4,3103.7,775.1,65.1,117.7,1.722,291.6,57.71,256.5,5.77,40.9,20.6,1.0,3.5,0.1324,0.1621,2285.3
ESPJOB-0012615,0,Bab,Sandstone,Single-Stage,ESP-538,4258.1,0.808,450.9,996.9,2961.9,716.3,85.2,173.6,5.143,563.5,63.4,415.4,21.87,45.5,51.0,1.25,4.5,0.356,0.1323,1965.0
ESPJOB-0018164,0,Lower Zakum,Shale,Single-Stage,ESP-562,3694.9,0.2431,93.8,1015.1,3602.1,849.7,74.9,143.2,4.653,478.1,60.96,254.3,6.33,26.8,54.3,0.75,2.375,0.1095,0.1294,2587.0
ESPJOB-0011146,0,Bab,Sandstone,Multi-Stage,ESP-400,2000.5,0.4493,304.6,697.1,3137.7,618.5,58.1,118.0,4.313,275.5,61.23,250.2,7.39,4.6,1.1,1.5,2.875,0.299,0.1377,2440.6
ESPJOB-0006782,0,Bab,Shale,Multi-Stage,ESP-400,2907.8,0.5241,292.8,567.4,2630.4,600.6,70.6,132.1,6.471,349.9,58.87,343.9,28.34,75.6,3.2,0.75,3.5,0.2781,0.1203,2063.0
ESPJOB-0012351,0,Bu Hasa,Sandstone,Single-Stage,ESP-538,3611.1,0.3587,365.2,554.4,2454.9,469.3,74.5,141.4,5.264,438.1,45.26,500.7,16.36,31.0,39.0,1.25,2.375,0.3907,0.1213,1900.4
ESPJOB-0019095,0,Upper Zakum,Shale,Smart,ESP-400,1603.8,0.708,322.3,972.6,3727.5,465.7,47.2,115.0,3.323,203.1,45.17,42.6,32.56,41.8,14.3,0.75,2.875,0.1435,0.1266,2754.9
ESPJOB-0003179,0,Bab,Carbonate,Single-Stage,ESP-562,2499.4,0.4236,80.9,1136.6,2863.3,561.6,68.5,109.3,4.132,327.4,47.19,182.2,80.61,43.0,4.4,1.0,3.5,0.0687,0.131,1726.7
ESPJOB-0000233,0,Upper Zakum,Carbonate,Multi-Stage,ESP-562,4221.9,0.4219,771.5,755.1,3742.2,570.1,77.9,153.4,5.421,531.6,70.0,356.5,22.86,33.6,15.1,1.0,3.5,0.526,0.1259,2987.1
ESPJOB-0003492,0,Bab,Carbonate,Multi-Stage,ESP-538,2924.1,0.6265,312.2,958.9,3235.4,575.2,89.2,154.7,4.535,438.8,61.42,468.8,8.92,25.1,6.6,1.25,3.5,0.3486,0.1501,2276.5
ESPJOB-0018689,1,Lower Zakum,Sandstone,Multi-Stage,ESP-538,2037.6,0.6685,439.7,1226.5,3600.4,791.2,66.2,120.8,5.089,275.3,56.18,286.9,32.81,25.0,25.1,0.75,2.875,0.3352,0.1351,2373.9
ESPJOB-0000907,0,Fateh,Shale,Single-Stage,ESP-562,3876.9,0.6183,720.0,533.3,3182.5,739.0,90.0,148.9,3.052,461.8,60.5,401.2,22.52,64.0,34.4,0.75,4.5,0.3029,0.1191,2649.2
ESPJOB-0017886,0,Bu Hasa,Carbonate,Smart,ESP-562,1893.2,0.5754,524.0,529.8,2895.5,473.7,87.7,115.8,4.873,232.0,56.83,234.3,28.81,60.8,6.7,1.0,2.375,0.2935,0.1226,2365.8
ESPJOB-0001388,1,Lower Zakum,Carbonate,Smart,ESP-675,2951.4,0.3219,173.5,1014.4,2585.9,646.4,72.6,118.6,4.617,395.8,63.61,188.4,26.89,53.6,6.3,1.5,2.875,0.1163,0.1341,1571.6
ESPJOB-0002894,1,Lower Zakum,Sandstone,Single-Stage,ESP-400,1833.7,0.3438,505.7,736.9,3325.4,742.4,69.3,96.1,3.196,247.5,64.09,76.9,3.45,48.9,7.3,1.5,2.875,0.0848,0.135,2588.5
ESPJOB-0003402,0,Lower Zakum,Carbonate,Multi-Stage,ESP-400,2639.6,0.6853,717.7,800.4,3072.0,372.6,58.4,130.9,4.678,379.2,60.01,129.1,2.87,16.0,22.6,0.5,3.5,0.2061,0.1437,2271.7
ESPJOB-0008339,0,SARB,Carbonate,Single-Stage,ESP-538,1740.6,0.5699,639.9,689.6,3005.6,480.4,72.3,104.0,3.717,228.0,51.42,330.2,18.55,31.6,25.0,0.5,2.375,0.1573,0.131,2316.0
ESPJOB-0004915,0,Bu Hasa,Carbonate,Smart,ESP-400,1251.5,0.4746,1435.5,728.0,3247.2,489.3,76.8,99.8,4.041,229.9,62.5,112.5,30.8,66.6,35.4,0.75,2.375,0.2585,0.1837,2519.2
ESPJOB-0000194,0,Lower Zakum,Carbonate,Single-Stage,ESP-538,1999.5,0.1358,420.4,750.3,3358.2,543.9,63.8,93.0,4.027,274.5,48.43,98.7,20.06,74.7,18.2,0.75,2.375,0.061,0.1373,2608.0
ESPJOB-0015593,0,Upper Zakum,Sandstone,Multi-Stage,ESP-562,2153.4,0.4997,563.8,1040.6,2943.2,646.8,67.7,102.5,4.061,256.6,47.97,156.5,5.29,23.2,23.4,1.0,2.375,0.1041,0.1191,1902.6
ESPJOB-0001745,0,Lower Zakum,Carbonate,Multi-Stage,ESP-538,2273.6,0.449,226.0,1249.7,4102.5,639.8,79.9,108.2,2.888,336.4,55.92,132.7,12.44,35.2,8.6,0.5,2.875,0.0829,0.148,2852.8
ESPJOB-0006270,0,Bu Hasa,Carbonate,Single-Stage,ESP-400,1073.4,0.5123,143.6,614.0,2386.7,462.7,82.0,97.6,3.455,149.9,47.66,73.0,12.12,6.1,13.6,1.0,2.875,0.1202,0.1397,1772.7
ESPJOB-0007393,1,Bu Hasa,Sandstone,Single-Stage,ESP-675,4641.7,0.7379,349.4,525.9,3175.6,640.8,81.1,170.1,5.835,627.5,70.0,527.7,22.69,20.2,22.4,0.75,3.5,0.507,0.1352,2649.7
ESPJOB-0011033,1,Upper Zakum,Sandstone,Single-Stage,ESP-538,3131.7,0.6436,551.1,546.1,3300.1,519.2,62.1,136.4,4.962,404.0,66.16,385.0,2.74,32.0,37.1,1.25,3.5,0.3972,0.129,2754.0
ESPJOB-0014597,1,Bab,Shale,Single-Stage,ESP-538,2654.7,0.5109,588.3,584.0,2862.5,694.0,83.1,125.9,4.038,345.4,68.01,182.5,70.37,68.0,9.1,0.75,2.875,0.2945,0.1301,2278.5
ESPJOB-0019826,1,Bu Hasa,Shale,Single-Stage,ESP-538,1879.3,0.2934,394.0,1091.0,3466.6,670.4,58.5,98.9,2.749,272.9,57.4,294.5,6.19,74.4,33.0,1.0,2.875,0.0637,0.1452,2375.6
ESPJOB-0013805,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,1466.1,0.2541,284.9,714.7,3237.9,785.8,71.7,93.0,4.663,219.4,48.24,321.7,21.17,46.6,42.9,0.75,2.875,0.1709,0.1496,2523.2
ESPJOB-0008325,0,SARB,Carbonate,Single-Stage,ESP-562,2308.2,0.4219,653.3,819.2,3793.1,936.8,72.5,124.9,4.512,310.4,54.67,163.9,10.1,8.3,44.2,1.25,3.5,0.2613,0.1345,2973.8
ESPJOB-0004689,0,Bu Hasa,Sandstone,Multi-Stage,ESP-400,2765.9,0.3839,311.5,663.4,3849.4,660.3,73.1,125.6,3.73,392.1,47.39,258.7,6.25,27.3,42.5,1.25,2.875,0.1816,0.1418,3186.0
ESPJOB-0007305,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,2665.8,0.3211,170.4,709.8,3898.1,762.6,71.4,140.6,3.89,331.4,38.09,264.5,12.6,39.1,0.1,1.25,2.875,0.213,0.1243,3188.3
ESPJOB-0013827,0,Upper Zakum,Carbonate,Multi-Stage,ESP-400,1720.4,0.3743,1055.2,722.0,3521.1,446.5,55.6,98.7,2.174,238.1,45.95,204.2,12.73,0.6,5.0,0.75,2.875,0.1289,0.1384,2799.1
ESPJOB-0013356,0,Lower Zakum,Carbonate,Multi-Stage,ESP-562,4186.3,0.0013,199.3,585.8,2699.5,531.0,63.9,138.6,5.761,528.2,49.3,258.9,9.35,58.0,19.8,0.5,2.375,0.0809,0.1262,2113.7
ESPJOB-0008250,0,Upper Zakum,Sandstone,Single-Stage,ESP-538,3316.1,0.4524,547.3,765.3,3398.9,443.4,76.2,155.1,5.104,406.2,64.11,226.1,10.82,2.4,23.8,0.5,2.375,0.2638,0.1225,2633.7
ESPJOB-0007463,0,SARB,Shale,Multi-Stage,ESP-538,2709.7,0.6291,139.2,746.6,3883.9,642.3,69.1,128.6,5.002,394.9,55.34,291.5,59.54,73.3,12.1,1.5,4.5,0.3135,0.1457,3137.3
ESPJOB-0012934,1,SARB,Carbonate,Single-Stage,ESP-400,3266.7,0.5478,716.2,995.9,3710.4,768.5,93.6,155.5,6.062,401.5,69.75,606.1,9.38,16.6,28.8,1.0,2.875,0.5599,0.1229,2714.5
ESPJOB-0008491,0,Bab,Carbonate,Single-Stage,ESP-538,2177.5,0.383,668.9,715.2,3069.0,412.7,79.5,110.7,4.903,255.8,56.4,289.7,2.03,18.1,20.7,0.75,2.875,0.1526,0.1175,2353.9
ESPJOB-0017365,1,Lower Zakum,Carbonate,Single-Stage,ESP-400,3237.1,0.6608,276.1,698.2,4252.8,716.6,67.0,151.8,3.984,436.9,56.16,266.5,23.01,24.6,17.0,0.75,2.375,0.4682,0.135,3554.6
ESPJOB-0011950,0,SARB,Carbonate,Multi-Stage,ESP-400,3110.0,0.5241,630.6,913.6,3235.5,551.3,74.6,146.5,5.3,398.9,48.81,486.3,7.18,24.8,13.9,0.5,3.5,0.4494,0.1283,2322.0
ESPJOB-0007108,0,Bu Hasa,Carbonate,Single-Stage,ESP-675,1263.7,0.5675,189.2,1062.9,2969.3,377.1,60.0,191.7865297807411,3.695,214.2,59.22,327.8,25.28,44.3,22.7,0.75,2.375,0.0935,0.1695,1906.4
ESPJOB-0019172,0,SARB,Sandstone,Single-Stage,ESP-400,2772.6,0.7469,510.0,754.2,3856.8,610.9,66.9,131.7,3.724,404.6,70.0,237.1,8.53,45.8,14.5,1.0,2.875,0.2849,0.1459,3102.6
ESPJOB-0007455,0,Bu Hasa,Sandstone,Multi-Stage,ESP-538,3632.5,0.4046,397.6,366.0,3165.8,740.5,74.4,147.8,4.502,447.0,55.57,169.0,30.11,54.5,31.0,0.75,2.375,0.245,0.1231,2799.8
ESPJOB-0013152,0,Bu Hasa,Carbonate,Single-Stage,ESP-400,3120.0,0.4514,352.6,363.2,2215.5,370.3,83.8,153.5,5.368,387.0,70.0,379.9,48.42,18.7,22.6,1.0,2.875,0.4097,0.1241,1852.3
ESPJOB-0000007,0,Bab,Sandstone,Multi-Stage,ESP-562,2984.3,,172.9,998.5,3116.0,398.6,78.4,133.7,3.557,438.4,48.86,49.8,16.36,34.5,42.8,0.5,3.5,0.1336,0.1469,2117.4
ESPJOB-0003468,0,Bab,Carbonate,Multi-Stage,ESP-400,2731.8,0.3532,1109.5,886.3,3318.1,580.9,81.8,130.3,2.984,388.6,47.37,180.3,21.29,106.4,15.1,1.0,2.375,0.1877,0.1422,2431.8
ESPJOB-0001524,0,Upper Zakum,Carbonate,Multi-Stage,ESP-562,3522.3,0.4904,978.3,834.3,3420.3,663.3,88.3,135.7,5.787,456.5,62.85,91.9,12.92,37.8,20.9,0.75,3.5,0.3178,0.1296,2585.9
ESPJOB-0016729,0,Upper Zakum,Carbonate,Smart,ESP-538,2462.3,0.4289,396.9,689.7,2947.7,687.3,71.3,121.4,4.474,324.1,48.74,474.9,4.93,4.2,47.5,1.25,3.5,0.2382,0.1316,2258.0
ESPJOB-0015060,0,Bu Hasa,Sandstone,Multi-Stage,ESP-400,955.7,0.494,188.5,1044.3,3278.2,630.6,70.8,102.3,3.169,177.6,49.68,273.2,16.46,50.3,1.9,1.0,3.5,0.1919,0.1858,2234.0
ESPJOB-0019158,1,Bu Hasa,Carbonate,Single-Stage,ESP-538,2631.4,0.99,1104.0,803.2,2833.0,484.8,72.0,137.4,6.141,342.1,44.62,650.6,22.89,31.0,13.7,1.25,2.875,0.6785,0.13,2029.8
ESPJOB-0009614,1,Bab,Carbonate,Single-Stage,ESP-538,2338.1,0.3555,802.7,806.2,2684.0,557.2,52.4,110.7,4.021,312.3,58.32,322.1,4.17,25.6,48.2,1.0,3.5,0.2477,0.1336,1877.8
ESPJOB-0012273,0,Upper Zakum,Shale,Single-Stage,ESP-562,1849.0,0.4096,1116.6,1019.2,3284.2,456.9,73.8,114.3,3.856,275.9,61.91,37.1,23.07,32.2,9.8,1.25,2.875,0.3379,0.1492,2265.0
ESPJOB-0016320,0,Bab,Carbonate,Single-Stage,ESP-400,3319.5,0.0933,975.9,983.5,3552.6,856.3,63.6,136.9,4.273,397.2,55.83,107.9,11.88,11.7,30.5,0.75,2.875,0.1339,0.1196,2569.0
ESPJOB-0006094,1,SARB,Carbonate,Multi-Stage,ESP-562,2247.4,0.6508,895.0,312.8,2333.5,321.1,76.7,129.2,3.746,270.1,67.63,395.6,61.64,14.7,6.3,1.0,2.875,0.3731,0.1202,2020.7
ESPJOB-0016107,0,SARB,Carbonate,Multi-Stage,ESP-538,827.0,0.4506,340.9,1080.2,2918.6,350.4,72.7,83.1,3.139,162.3,63.36,428.5,5.61,26.9,21.4,1.25,2.375,0.0953,0.1963,1838.4
ESPJOB-0006870,1,Bu Hasa,Sandstone,Single-Stage,ESP-400,3434.2,0.1513,565.6,848.9,3870.2,890.2,74.2,147.8,4.079,456.5,55.82,155.1,17.39,52.5,13.3,1.25,2.375,0.341,0.1329,3021.3
ESPJOB-0004599,0,SARB,Sandstone,Smart,ESP-400,1911.8,0.4592,440.7,950.8,2742.8,411.1,55.9,110.8,3.043,224.9,64.85,461.4,76.16,2.6,34.5,1.25,2.875,0.1959,0.1177,1791.9
ESPJOB-0001423,0,Fateh,Carbonate,Single-Stage,ESP-400,3669.7,0.5184,483.6,643.5,3820.0,522.3,84.8,143.8,5.162,529.7,62.19,102.5,26.04,34.9,24.2,1.0,3.5,0.3963,0.1443,3176.4
