JobID,Frac_Outcome,ProppantType,ProppantVolume_ton,FluidType,PadVolume_m3,ReservoirDepth_m,Porosity_frac,Permeability_mD,LateralLength_m,PumpingRate_bpm,InjectionPressure_psi,StageCount,SlurryRate_bpm,WellAge_years,PreviousStimulations,FormationType,Frac_Success_Prob
JOB-0000237,0,Brown Sand,196.8,Slickwater,836.0,3094.6,0.1185,0.312,1416.0,68.5,5369,28,65.6,3.02,0,Carbonate,0.2829
JOB-0000996,1,White Sand,609.3,Hybrid,665.3,2276.2,0.1015,5.948,2629.7,47.3,4234,40,49.8,5.24,0,Carbonate,0.8451
JOB-0000007,1,Resin-Coated Sand,385.1,Slickwater,849.8,2544.2,0.1327,1.389,3183.3,47.0,4788,54,46.6,5.98,0,Carbonate,0.8776
JOB-0000442,0,White Sand,287.0,Crosslinked Gel,270.7,2569.7,0.1497,1.001,1559.8,59.1,3556,15,58.3,3.27,1,Sandstone,0.4931
JOB-0000155,1,Resin-Coated Sand,561.9,Crosslinked Gel,967.2,3433.0,0.1315,0.237,2735.3,32.6,5353,50,32.2,2.48,0,Sandstone,0.6279
JOB-0000340,1,Resin-Coated Sand,398.5,Hybrid,687.9,2659.7,0.1535,1.292,2080.3,53.8,4034,37,59.9,1.86,0,Shale,0.8723
JOB-0000382,1,Resin-Coated Sand,288.3,Slickwater,606.4,4820.5,0.1719,0.478,1501.2,60.4,6676,30,56.8,6.24,0,Shale,0.5247
JOB-0000194,0,Brown Sand,353.0,Crosslinked Gel,893.9,2865.7,0.1497,1.51,2404.1,34.8,4283,38,41.5,0.0,0,Sandstone,0.6731
JOB-0000776,1,White Sand,525.3,Slickwater,1074.3,2824.3,0.1901,3.259,2524.8,30.0,4310,41,29.6,0.0,0,Shale,0.9507
JOB-0000976,1,Brown Sand,517.3,Crosslinked Gel,1077.6,3146.3,0.134,4.036,2361.3,40.3,5693,39,40.6,4.02,0,Sandstone,0.7796
JOB-0000033,0,Brown Sand,428.6,Slickwater,890.1,3124.3,0.1151,0.45,2307.0,38.8,5094,35,37.0,4.65,0,Carbonate,0.2977
JOB-0000862,0,Brown Sand,464.5,Slickwater,561.3,2046.6,0.1071,,2319.0,45.5,3893,31,44.5,8.47,0,Carbonate,0.5755
JOB-0000818,1,Resin-Coated Sand,503.6,Crosslinked Gel,1307.8,2726.8,0.1025,7.502,2162.3,41.7,3887,33,39.2,1.09,0,Sandstone,0.8246
JOB-0000366,0,Brown Sand,304.6,Hybrid,599.1,2594.1,0.04,3.436,1720.7,54.3,4539,27,51.4,3.85,0,Shale,0.3205
JOB-0000015,1,White Sand,387.8,Hybrid,919.6,2009.1,0.1203,1.753,2273.5,66.5,4152,38,62.3,1.11,0,Sandstone,0.852
JOB-0000390,0,Resin-Coated Sand,365.5,Slickwater,760.2,2676.7,0.1325,1.336,1939.2,46.9,3980,31,47.5,1.03,1,Sandstone,0.573
JOB-0000854,1,White Sand,436.6,Slickwater,882.3,2879.5,0.1434,3.502,2333.3,41.1,4332,39,43.1,3.97,0,Shale,0.8578
JOB-0000913,1,White Sand,502.5,Slickwater,1461.1,3451.6,0.172,9.379,2695.5,52.5,4678,46,51.6,3.84,2,Shale,0.9555
JOB-0000809,1,Resin-Coated Sand,456.4,Slickwater,855.7,2850.5,0.125,1.875,2223.0,44.8,4851,38,39.3,4.6,0,Sandstone,0.7679
JOB-0000275,0,Ceramic,238.2,Slickwater,630.5,2838.0,0.1646,1.214,1517.8,42.5,3855,27,36.2,2.33,0,Sandstone,0.6748
JOB-0000345,0,White Sand,358.0,Crosslinked Gel,687.6,2467.6,0.0541,0.174,2241.7,41.5,4650,30,36.4,0.3,1,Carbonate,0.0896
JOB-0000489,0,Brown Sand,418.9,Slickwater,1555.4,4028.9,0.1462,3.678,2258.3,38.6,5341,41,36.6,6.48,2,Carbonate,0.5567
JOB-0000529,0,White Sand,281.3,Crosslinked Gel,508.0,3597.5,0.2277,0.901,1508.6,44.5,5242,26,48.3,1.93,0,Shale,0.7922
JOB-0000856,0,Resin-Coated Sand,267.8,Hybrid,721.9,3416.5,0.086,7.679,1538.6,34.3,5263,29,32.7,2.61,0,Shale,0.3678
JOB-0000729,1,Resin-Coated Sand,253.3,Crosslinked Gel,880.8,2615.4,0.1282,7.262,1474.1,42.7,4053,29,37.4,1.66,0,Carbonate,0.7567
JOB-0000024,1,White Sand,381.0,Crosslinked Gel,1404.4,3115.8,0.1795,0.766,2395.5,46.0,5224,44,48.2,3.49,0,Shale,0.8459
JOB-0000158,1,Resin-Coated Sand,336.0,Crosslinked Gel,798.0,2376.9,0.1751,2.439,2017.9,62.5,4279,35,60.6,1.28,0,Shale,0.9325
JOB-0000710,1,White Sand,571.2,Slickwater,1299.6,3339.0,0.1835,9.889,3252.6,58.9,5127,54,59.1,2.68,0,Sandstone,0.9966
JOB-0000126,0,White Sand,459.2,Crosslinked Gel,1076.2,3595.7,0.154,0.49,2885.4,35.3,5414,47,33.2,1.69,1,Sandstone,0.6201
JOB-0000567,1,Brown Sand,466.1,Hybrid,1048.0,3519.0,0.0787,11.393,2125.6,56.6,5170,34,55.0,2.36,0,Sandstone,0.8874
JOB-0000223,1,Brown Sand,453.2,Slickwater,970.2,2714.4,0.1776,5.585,2565.4,50.4,4387,47,57.3,5.39,1,Carbonate,0.9279
JOB-0000644,0,Brown Sand,336.4,Slickwater,751.6,2195.2,0.1289,2.496,1976.5,21.4,4280,31,26.2,1.45,0,Sandstone,0.3014
JOB-0000283,0,Ceramic,481.1,Slickwater,1135.4,3112.0,0.0698,2.149,2585.3,26.4,4946,45,24.4,0.0,0,Shale,0.4945
JOB-0000089,1,Resin-Coated Sand,266.2,Slickwater,576.1,3145.6,0.1827,0.977,1152.8,21.9,5987,20,23.3,1.96,0,Carbonate,0.1685
JOB-0000803,1,Resin-Coated Sand,421.1,Slickwater,1467.7,2884.3,0.1143,11.609,3032.9,56.4,4852,51,59.2,2.46,1,Sandstone,0.9662
JOB-0000256,1,Brown Sand,537.3,Slickwater,1525.5,1672.9,0.1711,9.061,2865.9,45.3,3000,47,46.8,4.96,0,Shale,0.9891
JOB-0000623,1,White Sand,319.9,Crosslinked Gel,473.9,2593.4,0.2069,0.863,1271.7,52.3,4293,21,49.9,0.18,0,Shale,0.8172
JOB-0000849,1,Brown Sand,581.7,Slickwater,1431.7,3152.7,0.1716,2.169,2869.7,60.0,4740,43,60.5,1.66,0,Carbonate,0.9729
JOB-0000415,1,White Sand,319.0,Slickwater,645.3,2958.8,0.1312,3.525,2332.1,54.4,5179,37,56.7,4.31,0,Carbonate,0.7676
JOB-0000846,0,Resin-Coated Sand,330.0,Hybrid,548.6,2423.4,0.0951,0.801,2303.7,44.5,4374,34,35.0,5.09,0,Shale,0.2784
JOB-0000733,1,Ceramic,433.8,Crosslinked Gel,553.7,2508.7,0.1702,1.375,1842.8,46.6,4245,28,53.8,6.37,0,Sandstone,0.8653
JOB-0000814,0,Resin-Coated Sand,431.7,Slickwater,1212.9,3470.6,0.1184,2.846,2446.9,40.3,5386,38,38.7,0.47,0,Carbonate,0.8117
JOB-0000492,1,White Sand,479.7,Slickwater,1755.4,3043.6,0.1463,1.373,2384.2,45.2,5532,42,49.4,0.92,1,Sandstone,0.8316
JOB-0000413,0,White Sand,376.8,Slickwater,695.2,3455.1,0.179,3.628,1880.9,63.5,4625,28,63.6,5.86,0,Carbonate,0.9271
JOB-0000222,1,Brown Sand,388.5,Slickwater,1103.4,2644.4,0.0907,2.269,2174.5,70.1,4252,40,73.7,2.07,0,Carbonate,0.8513
JOB-0000836,0,Brown Sand,454.7,Slickwater,798.0,2346.4,0.0937,0.394,2432.8,46.1,4782,46,41.7,5.99,0,Sandstone,0.3689
JOB-0000986,0,White Sand,488.4,Hybrid,1457.3,2770.8,0.1172,2.278,2630.8,41.4,4556,46,41.9,3.8,0,Carbonate,0.8251
JOB-0000662,1,White Sand,661.5,Slickwater,929.3,3531.7,0.0665,1.543,2848.5,47.9,4847,50,51.5,2.89,0,Sandstone,0.7995
JOB-0000094,1,Brown Sand,320.2,Hybrid,729.6,3377.4,0.1461,6.713,1849.9,44.4,5572,26,43.7,1.42,0,Sandstone,0.8326
JOB-0000890,0,White Sand,453.5,Crosslinked Gel,365.3,1566.6,0.08,3.353,1812.7,28.2,3553,23,25.5,3.39,0,Carbonate,0.2716
JOB-0000731,1,White Sand,378.9,Hybrid,814.9,4248.3,0.1509,20.162,2167.7,46.1,5874,40,46.7,5.19,2,Carbonate,0.8498
JOB-0000672,1,Brown Sand,482.5,Slickwater,993.2,2062.1,0.1454,0.93,2381.6,49.0,3109,39,52.2,3.61,0,Carbonate,0.8141
JOB-0000362,1,Brown Sand,478.4,Crosslinked Gel,820.6,3186.9,0.1031,1.573,2155.5,49.8,4879,34,51.6,3.64,0,Sandstone,0.7275
JOB-0000932,1,White Sand,431.2,Slickwater,653.7,3192.9,0.166,10.121,2325.7,37.8,4806,34,41.0,2.52,0,Carbonate,0.9025
JOB-0000889,1,White Sand,602.9,Crosslinked Gel,933.2,3098.2,0.1626,10.955,2599.6,51.0,5203,46,52.5,0.59,0,Sandstone,0.9913
JOB-0000924,0,Resin-Coated Sand,235.6,Hybrid,331.4,3737.7,0.1058,0.674,1335.6,45.4,5166,20,45.3,7.13,2,Carbonate,0.0482
JOB-0000754,0,Brown Sand,294.7,Crosslinked Gel,484.4,2306.8,0.1505,1.447,1905.0,44.3,4105,26,37.4,1.76,0,Carbonate,0.597
JOB-0000839,1,White Sand,350.5,Slickwater,711.0,2488.7,0.1936,0.654,1867.8,45.0,4152,35,44.8,1.06,0,Carbonate,0.8846
JOB-0000513,1,White Sand,470.4,Hybrid,995.4,3157.9,0.1365,5.423,2137.5,49.6,5377,36,45.8,4.56,0,Sandstone,0.8545
JOB-0000339,1,Brown Sand,454.8,Hybrid,711.5,2753.6,0.1612,4.455,2022.3,45.2,3696,29,44.3,5.89,0,Sandstone,0.891
JOB-0000737,0,Brown Sand,600.4,Crosslinked Gel,912.0,3184.5,0.1589,1.053,2596.1,37.0,4537,38,31.1,3.19,0,Sandstone,0.7926
JOB-0000336,1,Ceramic,636.1,Slickwater,1256.7,2592.3,0.0627,2.145,3185.0,52.8,4305,58,54.5,3.7,0,Sandstone,0.8601
JOB-0000411,1,Resin-Coated Sand,628.2,Slickwater,1828.1,3338.5,0.1662,2.628,3522.4,38.3,4790,60,40.9,5.53,0,Sandstone,0.9668
JOB-0000171,1,Brown Sand,437.1,Crosslinked Gel,880.0,3320.2,0.1501,4.256,2342.9,56.6,5574,43,51.0,0.0,0,Carbonate,0.9133
JOB-0000668,0,Resin-Coated Sand,356.1,Hybrid,778.0,3091.1,0.1231,4.235,1880.9,40.3,3904,26,38.9,3.3,0,Carbonate,0.7439
JOB-0000469,0,White Sand,409.1,Crosslinked Gel,1121.2,3340.2,0.1595,2.315,2030.9,37.1,4847,38,39.5,7.14,1,Shale,0.537
JOB-0000985,1,Brown Sand,526.4,Slickwater,1291.9,2403.3,0.2038,5.574,2673.4,47.9,4135,55,46.8,3.71,1,Shale,0.9685
JOB-0000790,0,Resin-Coated Sand,400.8,Slickwater,1083.4,2986.5,0.1513,3.932,2097.0,39.1,4271,40,36.3,1.95,0,Sandstone,0.8781
JOB-0000626,1,Ceramic,265.1,Crosslinked Gel,552.0,2119.1,0.1653,6.543,1275.6,29.0,4108,20,29.4,1.99,0,Sandstone,0.7153
JOB-0000083,0,Ceramic,535.3,Hybrid,817.6,3534.2,0.08,1.833,3077.3,27.2,5121,49,31.7,3.46,0,Sandstone,0.4735
JOB-0000097,1,Resin-Coated Sand,374.7,Slickwater,957.5,2812.5,0.1033,11.542,2048.5,44.0,5103,34,40.5,6.45,0,Carbonate,0.7355
JOB-0000206,0,Brown Sand,246.8,Slickwater,465.6,2695.7,0.1144,0.615,1362.8,57.9,4384,24,53.2,0.18,0,Sandstone,0.4114
JOB-0000198,0,Resin-Coated Sand,335.4,Slickwater,864.2,3146.7,0.0972,1.993,1700.3,42.5,4978,29,46.7,3.1,0,Carbonate,0.3457
JOB-0000817,1,White Sand,475.8,Slickwater,757.2,2855.5,0.1781,1.077,2433.7,52.9,5367,37,55.9,3.28,0,Shale,0.908
JOB-0000966,0,White Sand,347.8,Slickwater,624.4,2622.8,0.1253,8.013,1795.1,41.0,5074,26,39.3,4.56,0,Shale,0.5614
JOB-0000640,1,White Sand,463.1,Crosslinked Gel,623.5,3293.8,0.1831,0.794,2420.1,45.8,5344,41,42.7,0.0,0,Sandstone,0.8893
JOB-0000110,1,Resin-Coated Sand,478.3,Slickwater,630.1,3117.6,0.1165,3.333,2131.6,51.5,4515,32,54.2,6.18,0,Sandstone,0.7093
JOB-0000762,1,White Sand,420.5,Slickwater,840.0,2539.9,0.1223,2.779,2375.4,48.6,4329,40,50.5,3.42,1,Carbonate,0.8367
JOB-0000478,1,Resin-Coated Sand,337.1,Crosslinked Gel,443.1,3260.1,0.1513,5.172,1703.9,55.7,5367,30,52.1,5.77,0,Sandstone,0.8449
JOB-0000869,1,White Sand,328.8,Hybrid,783.3,2670.3,0.1509,5.361,2029.6,57.0,4595,31,53.0,3.76,2,Sandstone,0.7865
JOB-0000084,0,White Sand,374.0,Crosslinked Gel,736.6,1960.1,0.04,1.902,1883.1,44.8,3442,27,53.1,2.07,1,Carbonate,0.2132
JOB-0000921,1,White Sand,396.1,Crosslinked Gel,917.6,2574.9,0.124,1.679,2111.8,46.9,4241,34,51.0,4.21,0,Sandstone,0.6748
JOB-0000789,1,White Sand,409.6,Hybrid,814.2,2930.1,0.0933,0.466,2030.0,52.3,4264,27,54.7,4.87,1,Sandstone,0.2723
JOB-0000594,1,Brown Sand,252.5,Slickwater,1071.9,3279.5,0.2056,10.042,1600.0,49.2,5437,29,51.8,5.29,0,Sandstone,0.921
JOB-0000333,0,White Sand,205.9,Crosslinked Gel,268.4,3016.9,0.1079,4.579,1290.1,50.4,4624,17,53.2,4.44,0,Sandstone,0.3949
JOB-0000795,1,Ceramic,145.4,Slickwater,410.9,3044.5,0.1116,4.999,1226.6,55.9,4258,13,52.9,1.92,0,Carbonate,0.3942
JOB-0000496,1,Ceramic,474.5,Slickwater,1066.9,3665.4,0.1661,4.743,2564.1,30.8,5231,49,29.5,2.91,2,Sandstone,0.8578
JOB-0000843,1,White Sand,450.9,Slickwater,1315.9,2694.1,0.1248,2.171,2205.7,56.1,4002,38,62.1,3.35,0,Sandstone,0.9207
JOB-0000971,0,White Sand,261.0,Crosslinked Gel,586.4,2676.9,0.0684,1.502,1250.1,40.9,4933,25,30.3,1.91,0,Shale,0.0932
JOB-0000885,0,Brown Sand,353.2,Slickwater,1337.5,3407.8,0.127,3.579,2315.5,35.5,5244,41,41.6,2.01,0,Sandstone,0.7499
JOB-0000597,1,White Sand,380.3,Crosslinked Gel,988.4,2705.8,0.1395,2.931,2272.1,40.8,4353,39,38.9,5.18,0,Carbonate,0.7112
JOB-0000400,1,Brown Sand,572.7,Crosslinked Gel,912.0,3224.8,0.1328,0.418,2258.5,25.9,5274,34,24.1,3.93,0,Carbonate,0.2213
JOB-0000170,0,Ceramic,613.4,Crosslinked Gel,1452.9,2859.4,0.1767,1.341,2690.7,37.7,5030,46,37.5,0.65,2,Carbonate,0.8998
JOB-0000750,1,White Sand,528.5,Slickwater,691.4,4105.5,0.1028,6.048,2945.1,36.6,6363,40,40.7,1.18,0,Shale,0.7819
JOB-0000287,1,White Sand,542.5,Hybrid,1019.3,3332.9,0.1883,6.511,2681.7,52.0,5263,38,51.3,4.97,0,Shale,0.9665
JOB-0000047,1,Resin-Coated Sand,447.6,Slickwater,1153.7,2966.3,0.141,2.096,2596.9,26.7,3778,45,26.1,8.07,1,Carbonate,0.5459
JOB-0000821,0,Brown Sand,723.5,Crosslinked Gel,940.3,3478.7,0.0911,1.431,2835.7,61.0,4871,42,62.2,3.69,0,Shale,0.8202
JOB-0000186,1,Ceramic,506.2,Hybrid,1405.1,3916.5,0.1014,10.545,3353.2,42.0,6004,54,41.0,2.86,0,Carbonate,0.9516
JOB-0000510,0,White Sand,596.9,Crosslinked Gel,1053.5,4929.3,0.1723,1.406,2809.4,25.5,6157,45,25.2,5.04,0,Carbonate,0.6792
JOB-0000310,1,Brown Sand,282.0,Crosslinked Gel,565.8,2784.1,0.1432,1.228,1590.0,67.6,4573,24,70.1,0.15,0,Sandstone,0.7661
JOB-0000830,0,Resin-Coated Sand,493.4,Slickwater,1440.4,3722.3,0.1286,0.779,2698.1,28.6,6174,43,32.1,3.43,2,Sandstone,0.3422
JOB-0000002,1,Resin-Coated Sand,514.5,Slickwater,917.7,3015.6,0.1896,0.652,2328.5,26.1,4005,38,21.8,2.45,0,Carbonate,0.6843
JOB-0000732,1,Brown Sand,530.5,Slickwater,1056.5,2233.0,0.148,3.635,2833.0,34.1,4251,43,30.6,5.56,0,Carbonate,0.8672
JOB-0000876,1,Brown Sand,763.3,Hybrid,1711.0,3377.2,0.1242,0.872,3691.8,37.5,4802,70,37.3,1.49,0,Carbonate,0.9307
JOB-0000290,0,White Sand,409.8,Slickwater,746.9,3307.8,0.1139,6.842,2466.5,48.7,5503,38,48.9,1.62,0,Sandstone,0.8634
JOB-0000642,1,White Sand,505.0,Crosslinked Gel,990.1,2599.5,0.108,1.675,2258.6,57.2,4334,40,60.1,2.49,0,Sandstone,0.8211
JOB-0000520,0,Ceramic,260.6,Slickwater,1145.7,2549.3,0.104,1.879,2102.9,29.1,4213,30,34.8,1.76,1,Sandstone,0.2741
JOB-0000736,0,Resin-Coated Sand,365.0,Crosslinked Gel,643.4,2515.4,0.1082,0.792,1783.3,41.8,3627,27,41.1,1.06,1,Carbonate,0.4
JOB-0000337,1,Resin-Coated Sand,315.4,Hybrid,530.1,3105.0,0.1695,0.367,1800.3,46.3,4675,32,42.7,2.86,0,Carbonate,0.6235
JOB-0000374,1,Brown Sand,513.4,Slickwater,1075.9,3007.7,0.1772,5.317,2285.5,27.2,4926,34,25.6,3.0,0,Sandstone,0.8805
JOB-0000301,1,Resin-Coated Sand,405.0,Crosslinked Gel,1587.1,3208.8,0.2092,1.424,3203.6,45.5,5363,58,46.3,1.93,0,Sandstone,0.9832
JOB-0000357,1,Resin-Coated Sand,608.5,Hybrid,1096.4,2536.1,0.1463,3.057,3293.4,44.8,4649,44,48.0,5.27,0,Carbonate,0.9346
JOB-0000396,0,White Sand,306.2,Slickwater,735.8,3225.1,0.1051,21.323,1987.7,37.2,5115,30,41.1,1.24,0,Sandstone,0.788
JOB-0000092,0,Ceramic,296.8,Hybrid,806.9,3400.1,0.1361,2.587,1547.7,52.9,4718,25,50.2,3.24,0,Shale,0.6768
JOB-0000026,0,Resin-Coated Sand,387.7,Hybrid,523.3,2465.0,0.1245,0.751,2055.1,46.7,3265,30,53.6,0.96,2,Sandstone,0.3918
JOB-0000067,0,Brown Sand,311.9,Crosslinked Gel,1089.4,3615.8,0.0612,3.097,2039.1,61.2,5002,31,60.6,1.27,2,Sandstone,0.3017
JOB-0000207,0,Ceramic,241.4,Slickwater,899.0,2698.4,0.1192,2.707,1706.3,41.9,4252,31,41.7,0.0,0,Sandstone,0.5402
JOB-0000490,0,Brown Sand,293.0,Slickwater,476.2,3563.2,0.184,0.931,1536.5,45.5,5722,19,42.0,1.6,0,Carbonate,0.5365
JOB-0000154,1,Resin-Coated Sand,400.1,Hybrid,901.8,2672.5,0.1451,2.505,1876.4,42.6,4673,31,46.1,7.38,0,Sandstone,0.7799
JOB-0000970,1,Ceramic,399.2,Hybrid,939.4,3589.8,0.1069,0.318,2237.1,44.5,5048,41,43.9,3.9,0,Sandstone,0.6544
JOB-0000365,1,White Sand,599.5,Slickwater,1430.7,1951.2,0.2215,8.862,2663.3,29.1,3737,40,35.5,4.09,2,Carbonate,0.9638
JOB-0000152,1,White Sand,301.2,Hybrid,899.7,3379.1,0.1168,6.142,2322.7,48.3,4706,41,49.4,2.75,0,Sandstone,0.8685
JOB-0000474,1,White Sand,540.6,Slickwater,999.5,3024.9,0.1733,0.322,2246.0,69.6,5104,39,61.3,5.62,0,Sandstone,0.9385
JOB-0000108,1,Brown Sand,573.5,Slickwater,535.0,2794.1,0.1315,2.572,2595.1,35.5,4264,46,35.5,1.27,3,Sandstone,0.5002
JOB-0000344,1,Brown Sand,320.0,Slickwater,723.4,3232.9,0.1299,3.391,1406.6,33.2,5028,26,31.8,1.22,0,Carbonate,0.3271
JOB-0000671,0,White Sand,345.1,Slickwater,693.5,2851.7,0.1021,1.302,2000.3,47.2,5008,32,45.0,4.28,0,Sandstone,0.3791
JOB-0000051,1,Brown Sand,502.0,Hybrid,1069.5,4304.7,0.161,5.304,3063.0,48.1,5604,54,48.7,5.29,0,Sandstone,0.9677
JOB-0000835,1,White Sand,451.0,Crosslinked Gel,1446.1,2755.4,0.1807,5.058,2419.1,56.0,4827,46,54.5,3.96,0,Carbonate,0.9675
JOB-0000164,1,Resin-Coated Sand,701.6,Hybrid,1059.9,3357.0,0.0959,1.261,3496.2,49.0,5303,58,44.6,2.52,0,Sandstone,0.947
JOB-0000304,0,Brown Sand,232.2,Crosslinked Gel,479.9,3462.3,0.189,1.811,1049.8,38.1,4818,19,31.8,2.36,0,Sandstone,0.3702
JOB-0000448,1,Brown Sand,404.4,Hybrid,1137.8,3272.2,0.113,5.207,2508.7,53.7,5068,41,53.0,2.48,0,Shale,0.8118
JOB-0000546,0,White Sand,326.9,Crosslinked Gel,1083.5,3202.5,0.1509,1.793,2223.5,54.5,5685,34,49.7,0.0,1,Carbonate,0.6761
JOB-0000743,1,Brown Sand,512.6,Crosslinked Gel,823.9,2317.1,0.1691,8.97,2685.1,63.8,4189,35,62.8,2.87,0,Shale,0.9748
JOB-0000899,1,Brown Sand,308.4,Crosslinked Gel,867.1,2672.9,0.1921,1.752,1902.9,42.7,4344,36,46.8,3.31,1,Sandstone,0.7224
JOB-0000482,1,Brown Sand,374.3,Hybrid,822.3,3720.7,0.238,0.936,1905.9,52.0,4751,33,59.4,5.7,0,Shale,0.9118
JOB-0000960,1,Ceramic,576.0,Slickwater,2098.8,2596.8,0.182,0.888,2903.8,52.3,4393,56,45.2,3.23,0,Shale,0.9596
JOB-0000441,1,Resin-Coated Sand,444.0,Hybrid,1203.2,3035.0,0.1848,1.825,2206.2,43.1,4449,43,41.6,3.38,0,Carbonate,0.9208
JOB-0000535,1,Resin-Coated Sand,464.2,Hybrid,1220.9,1715.5,0.1588,1.749,2154.0,49.0,3940,37,48.8,0.88,0,Sandstone,0.9643
